job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
测试工程师,https://www.lagou.com/jobs/4119128.html,市北区,5k-8k,山东海博科技信息系统股份有限公司,1-3年,本科,"敏捷开发,性能测试",1. 根据项目需求，参与项目整体规划与需求分析；2. 根据项目需求，把控功能测试、性能测试及安全测试；3. 负责根据设计文档或需求说明制定测试计划；4. 编写测试用例并参与用例评审；5. 负责搭建测试环境，执行测试活动；6. 负责bug提交和跟踪；7. 及时与上级及协作部门沟通反馈测试进度及测试结果；8. 负责各阶段测试报告的编写和提交；9. 负责需求跟踪矩阵中测试相关内容的维护及更新；10. 参与系统上线评估，并给出评估意见；11. 理解并严格执行公司及部门各项指令、通知和制度规定；上级领导安排的其他工作。,"移动互联网,信息安全",50-150人,测试,青岛
游戏测试工程师,https://www.lagou.com/jobs/7026428.html,市南区,8k-10k,上海敬游软件科技有限公司,1-3年,不限,极速成长 亿级用户产品 大牛带队,岗位要求：1、根据主策划的要求，负责游戏产品的功能系统设计，注重用户操作体验，完成游戏策划案；2、主要负责游戏部分系统模块的方案设计、制作跟进、测试验证、调整优化以及相关文档制作；3、游戏游戏内部分特色玩法的设计以及制作；4、协调美术及程序，高效完成系统功能的落地执行任务。任职资格:1、游戏体验丰富，至少深入了解或研究过一两款SLG/RPG/MMO手游；2、有完整的设计理念，能够根据项目整体构架思路，系统化的思考和评估玩家互动体验、乐趣、交互模块的内容，并输出完整的解决方案和设计文档；3、易沟通、善沟通，逻辑思维能力、分析能力、创新能力强。,游戏,150-500人,测试,青岛
中级测试工程师,https://www.lagou.com/jobs/3973076.html,市北区,5k-7k,青岛东凯软科信息技术有限公司,1-3年,本科,"测试,工程师,自动化",1、编写测试计划、规划详细的测试方案、编写测试用例。2、根据测试计划搭建和维护测试环境。3、执行测试工作，提交测试报告。包括编写用于测试的自动测试脚本，完整地记录测试结果，编写完整的测试报告等相关的技术文档。4、对测试中发现的问题进行详细分析和准确定位，与开发人员讨论缺陷解决方案。5、提出对产品的进一步改进的建议，并评估改进方案是否合理。对测试结果进行总结与统计分析，对测试进行跟踪，并提出反馈意见。6、为业务部门提供相应技术支持，确保软件质量指标。,"移动互联网,数据服务",15-50人,测试,青岛
软件测试工程师,https://www.lagou.com/jobs/6848050.html,黄岛区,12k-15k,青岛国信城市信息科技有限公司,1-3年,本科,市直企业、政府授权、智慧城市建设运营,一、需求量：2二、工作职责1. 参与构建适合公司技术发展需要的质量保障体系，制定和推进相关质量方案落地实施；2. 参与产品需求和架构设计评审，评估合理性以及测试最优方案；3. 通过优化和制定测试相关流程、策略、方法和工具，提升研发过程的测试质量和效率；4. 解决测试过程中的复杂技术问题，根据产品和项目特点，提出合理的解决方案，并负责设计和实现自动化、性能测试框架及工具等以提高测试效率；5. 测试领域前瞻性探索，引领团队技术进步。三、任职资格学历：本科及以上专业：理工科、计算机或其他相关专业年龄：40岁以下工作技能1.至少一年以上软件开发、自动化测试、性能测试、或白盒测试工作经验；2.熟悉 Java/python/等至少一种编程语言；3. 具备很强的自我驱动学习能力、分析能力和解决问题的能力；4.在钱包和支付方面有专业知识者优先。,"人工智能,区块链",2000人以上,测试,青岛
测试工程师,https://www.lagou.com/jobs/7050057.html,崂山区,7k-14k,南京百氪汇信息网络有限公司,1-3年,大专,"五险一金,带薪年假,节日福利,生日礼金",技能要求：MySQL，ORACL，Linux工作内容：1.熟悉软件测试流程，掌握软件测试理论和方法；2.根据产品需求和设计文档，独立编写测试方案和测试用例；3.执行具体测试任务并确认测试结果、缺陷跟踪、完成测试报告及测试结果分析；4.在测试各个环节与开发、产品经理沟通，并保证测试输入输出的正确性和完备性；5.完成产品缺陷验证和确认，对于难与重现的缺陷，需要完成可能性的分析与验证。岗位要求：1.专科及以上学历；2.有2年及以上软件系统测试经验；3.会写sql语句，熟练应用Mysql、Oracl等基本操作；4.熟练运用Linux操作命令；5.熟悉Python/Shell等脚本语言。,"移动互联网,电商",150-500人,测试,青岛
测试工程师,https://www.lagou.com/jobs/7143401.html,崂山区,10k-20k,海尔集团,5-10年,不限,物联网平台前景好、薪资福利好、项目激励高,"岗位职责:
 参与需求评审，制定测试计划、测试用例； 2.软件测试，记录并协助定位缺陷，跟踪缺陷并完成回归测试； 3.总结测试过程，编写测试报告，及时反馈测试结果；4.参与自动化测试用例编写及维护，不断优化自动化测试框架； 5.尝试新方法、新工具提高测试效率。 任职资格： 1.能够熟练进行测试需求分析，编写测试计划、测试用例、测试方案、测试报告及各类测试技术文档； 2.熟悉Linux系统及常用命令； 3.具有较强的逻辑分析能力、协调能力和抗压能力； 4.熟悉Java或者Python语言，具有相关开发或测试经验优先； 5.本科以上学历，计算机、软件工程相关专业","物联网,电商",2000人以上,测试,青岛
软件测试工程师,https://www.lagou.com/jobs/7212253.html,,9k-12k,海尔集团,3-5年,本科,扁平化结构，发展前景好，福利待遇优厚,1.参与各产品线测试的全流程。按照产品和业务要求，制定和推进测试策略，测试计划和测试方法。2. 负责对软件质量问题进行跟踪分析和报告，推动测试中发现问题及时合理地解决。3. 和开发工程师、产品经理密切配合，最大程度保障推出产品的质量，提升客户满意度。4.使用自动化、通用工具平台、测试工具等提升整体质量和测试效率。5. 优化产品研发测试上线流程，提高产品质量和测试效率。 1、**学历统招本科及以上，2年以上软件测试经验，能够熟练独立编写软件测试计划，测试用例，缺陷报告；2、熟悉软件开发全流程、精通软件测试相关理论及文档编写3.精通黑盒测试，熟悉接口测试自动化，熟悉性能测试，有编写自动化测试或大型项目性能测试的实战经验者优先；,"物联网,电商",2000人以上,测试,青岛
测试工程师,https://www.lagou.com/jobs/6858823.html,崂山区,6k-8k,北京泛钛客科技有限公司,1-3年,本科,五险一金/工作氛围好/待遇好,岗位职责：1、参与项目的需求分析，制定测试方案，设计测试用例；2、搭建测试环境，保证测试环境的可靠性；3、与产品、研发团队协作完成各阶段的测试需求；4、负责测试bug提交和跟踪，提出改进建议；5、根据项目情况，合理开展自动化测试和性能测试。任职资格：1、良好的沟通能力、分析能力和解决问题能力；2、计算机相关专业背景，统招本科及以上学历，2年以上测试经验；3、能够负责高复杂度/大规模业务的测试工作；4、引入主流测试工具、测试方法，提升测试效率和质量；5、理解产品特点，关注用户反馈，帮助产品体验的提升；6、熟悉测试跟踪工具的使用，熟悉主流测试框架LoadRunner、Jmeter等；7、熟悉Python，能熟练编写自动化测试脚本；8、985/211高校毕业生优先；9、有一线互联网或正规金融机构科技工作经验优先。,"金融,数据服务",150-500人,测试,青岛
测试工程师,https://www.lagou.com/jobs/6739071.html,市北区,2k-4k,青岛众合基业信息工程有限公司,3-5年,本科,有能力，即发展,有电脑基础，网络运维，监控系统，办公设备等。,通讯电子,15-50人,测试,青岛
测试工程师,https://www.lagou.com/jobs/6923392.html,城阳区,4k-6k,青岛三利集团有限公司,不限,不限,在本职工作的基础上，有更多学习发展空间,熟悉测试基本原理了解测试流程能够独立完成测试计划，测试用例，测试报告编写有项目经验,其他,2000人以上,测试,青岛
