job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
深度学习算法工程师,https://www.lagou.com/jobs/6538577.html,长宁区,17k-25k,上海西井信息科技有限公司,1-3年,本科,"氛围环境,6险1金,一线福利,团队有爱",职位描述：1. 参与深度学习平台开发包含： 数据中心，模型训练平台，模型测试平台任职要求：1. 本科为软件工程相关专业，研究生为计算机，图像识别，自动化或者模式识别专业等相关专业，有1～2年相关工作经验2. 熟悉opencv，Python（Django，flask），数据库（mysql，postgres），linux开发环境，git3. 熟悉Tensorflow， PyTorch等任一种主流的深度学习框架，对深度学习算法有一定兴趣4. 有后端开发相关经验，对docker/集群/kubernetes有一定了解5. 有足够的耐心，有较强的工程能力，抗压能力，责任心，团队协作能力,"数据服务,硬件",150-500人,深度学习,上海
深度学习算法工程师,https://www.lagou.com/jobs/7103523.html,浦东新区,25k-50k,海深智能科技（上海）有限公司,1-3年,本科,年底多薪 发展空间大 福利好 待遇优厚,"职位诱惑：年底多薪 技术大牛 学术氛围好 成长迅速职位描述:负责公司智能产品的研发，核心技术为：目标检测，物体识别，视频行为分析，人物跟踪等。职位要求：1.   计算机或者电子类相关专业，硕士或者博士学历。2.   了解机器学习算法，熟悉CNN， RCNN 等网络的应用，以及优化技术。3.   熟悉以下深度学习的框架应用中的任意一种：Caffe, Pytorch, TensorFlow。4.   很强的写代码能力，python 或者 C5.   熟悉图像识别算法，以及GPU计算相关经验的优先考虑。公司介绍：我们是做人工智能产品的技术型公司，为零售行业提供解决方案，已经在市场上取得领先地位，并得到了资本市场的认可。我们在图像商品识别的深度学习领域有世界前沿性的研究成果，在目标检测方面有独创的核心技术，为腾讯云，京东，小红书，搜狗，百联集团等**企业提供技术服务。创始团队来自百度硅谷深度学习研究院，核心技术团队来自国内外知名学府：清华，上海交大，加州伯克利，卡耐基梅隆，佐治亚理工，并曾在Google, Yahoo!,  百度等互联网公司担任核心技术岗位。","移动互联网,电商",15-50人,深度学习,上海
深度学习算法工程师,https://www.lagou.com/jobs/6362709.html,浦东新区,20k-40k,上海纸上绝知智能科技有限公司,不限,硕士,机器学习，深度学习，图像算法,职位诱惑：• 人工智能、落地产品、与行业大牛0距离接触• 团队年轻活力，有机会接触到最前沿的 AI 技术，并在实际落地的 AI 项目中发挥作用，创造用户体验一流的 AI 产品。• 有竞争力的薪酬，工作餐补助，租房补贴，五险一金足额缴纳，每年10至15天带薪年假，工作环境优美• 弹性工时，日常工作有吃不完的零食水果，与不定期的聚餐/郊游活动• 期权激励岗位职责：1. 负责图像识别、目标检测、OCR等方向深度学习前沿算法的调研和改进，并应用到实际项目中2. 根据公司项目和产品需求，设计和训练深度学习网络结构和测试平台职位要求：1. 计算机相关专业硕士及以上学历2. 熟悉图像处理基本原理3. 熟悉tensorflow、pytorch等深度学习框架4. 熟悉CNN、LSTM、attention等相关网络结构5. 熟悉模型量化和Automl等优化手段6. 熟练使用opencv，numpy，scipy等工具,人工智能,15-50人,深度学习,上海
深度学习算法工程师,https://www.lagou.com/jobs/5702071.html,浦东新区,25k-50k,海深智能科技（上海）有限公司,1-3年,硕士,年底多薪 技术大牛 学术氛围好 成长迅速,"职位描述：负责公司智能产品的研发，核心技术为：目标检测，物体识别，视频行为分析，人物跟踪等。职位要求：1.   计算机或者电子类相关专业，硕士或者博士学历。2.   了解机器学习算法，熟悉CNN， RCNN 等网络的应用，以及优化技术。3.   熟悉以下深度学习的框架应用中的任意一种：Caffe, Pytorch, TensorFlow。4.   很强的写代码能力，python 或者 C5.   熟悉图像识别算法，以及GPU计算相关经验的优先考虑。公司介绍：我们是做人工智能产品的技术型公司，为零售行业提供解决方案，已经在市场上取得领先地位，并得到了资本市场的认可。我们在图像商品识别的深度学习领域有世界前沿性的研究成果，在目标检测方面有独创的核心技术，为腾讯云，京东，小红书，搜狗，百联集团等**企业提供技术服务。创始团队来自百度硅谷深度学习研究院，核心技术团队来自国内外知名学府：清华，上海交大，加州伯克利，卡耐基梅隆，佐治亚理工，并曾在Google, Yahoo!,  百度等互联网公司担任核心技术岗位。","移动互联网,电商",15-50人,深度学习,上海
深度学习算法工程师,https://www.lagou.com/jobs/5556524.html,静安区,18k-36k,虹软科技股份有限公司,1-3年,硕士,AI行业风口、技术成长快、,"岗位职责：1、图像处理和增强、图像拼接、基于图像的3D重建算法研究。2、深度学习项目深入研究，各种检测、特征定位、跟踪、识别、分类等相关算法研究。3、图形与三维重建；AR\SLAM算法研究。4、计算机视觉相关算法研究项目岗位要求：1、硕士及以上学历，图像处理、计算机视觉、模式识别相关专业研究方向；2. 熟悉当前流行的计算机视觉与模式分类理论以及常用的统计和学习方法：PCA、Boosting、SVM、Neural Net、Regression等；3. 熟悉常用特征提取方法：Haar、Gabor、LBP、SIFT、HOG等；深厚的数学功底与算法理论研究能力；4、精通C/C++；有2年以上图像处理和增强方面的独立研发能力及项目经验者优先；熟悉深度学习理论并有项目实践者优先；或发表过图像算法相关学术论文/专利者优先；5、至少精通其中一种嵌入式体系架构者（包括ARM,DSP,X86,MIPS，GPU，CUDA等），有图像算法优化经验优先；6、良好的团队协作能力，能够独立思考，善于创新，针对问题提出有效解决方案；7. 熟练的英文文献资料阅读能力；   8、工作认真负责，学习能力较强。","人工智能,物联网",500-2000人,深度学习,上海
深度学习算法工程师,https://www.lagou.com/jobs/6238901.html,徐汇区,20k-40k,上海媒智科技有限公司,1-3年,硕士,年底双薪 股票期权 带薪年假 周末双休,工作职责： 1. 跟踪计算机视觉/深度学习领域前沿算法； 2. 负责将最好的算法应用到实际场景中； 3. 在实际场景中不断迭代优化现有算法。  任职资格： 1. 全日制硕士及以上学历，计算机、电子工程、自动化相关专业； 2. 在以下至少一个领域有深入研究：深度学习/机器学习；计算机视觉（图像分类、目标检测、语意分割、实例分割、姿态估计、动作识别等）；图像处理； 3. 扎实的编程基础，熟悉Python等至少一门脚本语言； 4. 熟悉至少一种深度学习框架（例如Caffe、 PyTorch、TensorFlow、MXNet等）； 5. 熟悉本研究领域的最新研究成果、公开数据集和相关的开源项目； 6. 极强的自学能力和独立思考能力，善于表达自己的想法，具备良好的团队合作精神。  加分项（非必要）： 1.  具备 ACM 等大赛奖牌者优先；  2. 在 CVPR、ECCV、ICCV、NeurIPS、ICML、ICLR等相关会议上发表论文者优先。,移动互联网,15-50人,深度学习,上海
深度学习算法工程师,https://www.lagou.com/jobs/7217672.html,嘉定区,10k-15k,上海奇弦智能科技有限公司,应届毕业生,本科,深度学习,岗位职责：1、从事机器学习/深度学习/数据特征提取等领域的研究和开发工作2、负责DeepLearning领域前沿算法跟踪、算法实现及系统研发3、支持公司相关产品在深度学习领域的研究岗位要求：1、 统招本科及以上学历，计算机相关专业。2、 掌握数据处理常用方法，熟练使用pandas和numpy。3、精通至少一种常见的深度学习框架，譬如Caffe、TensorFlow和PyTorch，能够独立完成深度学习模型搭建。4、熟悉各种深度神经网络模型，掌握相关实现及优化方案，有优化经验者优先。5、善于分析和解决问题，富有想象力和学习能力，具有良好的团队合作精神。6、拥有创造性思维，有推进人工智能发展的理想和使命感。,数据服务,50-150人,深度学习,上海
算法工程师,https://www.lagou.com/jobs/5376839.html,虹口区,25k-50k,奇虎360科技有限公司,3-5年,硕士,牛人多、空间大、环境佳,职位描述：1、设计和实现各种策略，提升广告平台的变现效率和用户体验；2、维护和优化CTR、CVR、Prerank、流量控制、Pacing等广告竞价相关策略和模型；3、创意模板生成、配图优化、文案生成等创意优化策略。任职要求：1、优秀的代码能力，数据结构和算法基础扎实；2、熟悉机器学习、数据挖掘的基本理论和常用算法，有相关工作经验；3、有较强的分析和解决问题的能力，有持续学习新知识的能力和意愿；4、沟通能力强，有优秀的团队合作意识。加分项：1、熟悉Hadoop/Spark/Storm等大规模分布式计算系统；熟悉Linux、Python等开发环境；2、了解计算广告学的相关知识，有实际广告投放系统工作经验。,信息安全,2000人以上,深度学习,上海
AI开发平台部_算法策略工程师,https://www.lagou.com/jobs/7137511.html,浦东新区,18k-36k,百度在线网络技术（北京）有限公司,不限,本科,发展空间大,"工作职责:-负责百度AI开发平台EasyDL模型开发、效果调优-负责图像、NLP、语音等方向深度学习算法与相关问题研究-负责深度学习框架建设以及分布式深度学习平台建设职位要求:-本科及以上学历，计算机相关专业优先，良好的沟通与表达和团队协作能力-2年以上机器学习研发与业务应用经验，熟悉至少一种深度学习框架（PaddlePaddle、PyTorch、TensorFlow、Caffe等）-熟练使用Linux系统，熟练使用c++、python等语言，精通常用算法和数据结构，对机器学习算法有较强的实践能力，熟悉基于GPU/CPU/FPGA/NPU的相关机器学习算法-了解计算机视觉/图像处理相关算法，如人脸、图像分类、物体检测、AR等，了解机器学习基本算法，如分类、回归、概率模型-熟悉AutoML/AutoDL领域, 对常用优化算法（强化学习、贝叶斯优化、遗传算法等）有一定的了解；对于网络结构搜索及自动压缩等领域有一定了解推荐候选人",工具,2000人以上,深度学习,上海
算法工程师,https://www.lagou.com/jobs/6800940.html,杨浦区,20k-30k,达疆网络科技（上海）有限公司,3-5年,本科,"互联网,流量大,研发氛围好,扁平管理",职责描述：1. 基于海量数据，挖掘业务中的真实需求和痛点。使用人工智能/机器学习/运筹学等手段，优化众包物流配送平台的成本和效率。2. 使用机器学习方法迭代核心算法模块，比如ETA时间预估、单量预估、接单预估等等。3.业务能力、沟通能力强的可以考虑带团队。职位要求：1. 计算机/数学/运筹学/经济学 等相关专业本科以上学历，2年以上算法专业领域工作经验，不考虑应届生。2. 扎实的机器学习/数据挖掘或最优化理论基础，对深度学习有一定了解，有相关领域的算法实践经验。3. 熟悉一门常用的编程语言，如Java/C++/python等，具有熟练的编程基础。4. 对算法有浓厚的兴趣，并且可以将解决方案落地。5. 良好的沟通表达能力，自我驱动、结果导向，具有强烈的责任心。,消费生活,2000人以上,深度学习,上海
