job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
深度学习工程师（南京）,https://www.lagou.com/jobs/6824414.html,栖霞区,20k-40k,中智行科技有限公司,3-5年,硕士,大牛云集，前瞻行业,任职资格:,人工智能,50-150人,深度学习,南京
AI算法工程师,https://www.lagou.com/jobs/6810507.html,建邺区,20k-25k,咪咕文化科技有限公司,3-5年,本科,专业平台,"工作职责：1.主要进行手机AI算法.计算机视觉算法研究与工程化实现，从事人脸识别.文字识别 (OCR).人体姿态估计.图像语义分割等方向的前沿技术研发，跟踪业内最新算法；2.负责算法SDK封装，APP集成，撰写接口文档；3.爬取整理标注训练数据，形成业务数据闭环；4.负责AI服务的开发，针对项目中的特定场景和需求，进行相应的服务端API开发和客户端的APP的SDK集成开发。团队协作完成一整套AI应用方案，撰写项目文档。任职资格：1.全日制本科及以上学历，计算机科学，软件工程相关专业；2.精通Python，能熟练使用JAVA,Android中的至少一种语言，数据结构和算法功底扎实，编程能力强，编程习惯好；3.能根据项目需求熟练使用和改进常用视觉识别相关算法；4.熟悉Tensorflow/Pytorch等至少一种主流深度学习框架；5.熟悉爬虫原理，熟悉常见的反爬虫技术，掌握http协议，熟悉html.dom.xpath等常见的数据抽取技术；","移动互联网,文娱丨内容",2000人以上,深度学习,南京
算法工程师,https://www.lagou.com/jobs/6028214.html,雨花台区,10k-18k,众能联合数字技术有限公司,不限,本科,独角兽企业、发展平台、竞争力薪酬,岗位职责：1、调研算法在工程机械领域的可行性2、参与算法项目的全流程（建模、编程、调试、测试、发布等）3、协助算法研究员进行算法研究4、发表论文或申请发明专利职位要求：1、热爱编程，喜欢研究，有算法基础2、熟悉常用机器学习算法3、论文转化能力强、有工程落地经验加分内容：1、优秀论文，发明专利，比赛获奖，作品演示等2、学习能力强，不怕困难，勇于挑战3、熟悉python，java，c++，c#等4、熟悉最短路径，组合优化等算法5、有NLP，文本分类，命名实体识别，知识图谱构建等经验6、有图像识别，目标检测，客服对话等经验；7、特别优秀的学历不限（本科也可以）;说明：全职 or 接受优秀的硕士实习,"移动互联网,企业服务",500-2000人,深度学习,南京
算法工程师,https://www.lagou.com/jobs/7070739.html,浦口区,8k-12k,中科视拓（北京）科技有限公司,1-3年,本科,五险一金、国家假期,岗位职责：1、根据公司产品和业务需求，进行相关深度学习图像算法的研究和开发。2、根据图像处理项目具体要求，承担开发任务，制作开发计划，并按计划完成任务目标。3、完成算法相关的需求调研与需求分析及设计。4、算法实现、测试、改进，及后期维护。5、算法优化、模块化。6、相关算法文档的编写。岗位要求：1.本科及以上学历，模式识别、图像处理相关专业优先；2、要求1年以上机器视觉、深度学习或图像处理方面工作经验；3、精通图像处理常用算法原理，熟悉实现方式，包括：图像预处理算法和高级处理算法。4、至少参与过2个机器视觉或图像处理方面项目经验，有C++、python等编程语言1年以上实际编码经验，熟悉opencv5、良好的团队精神和沟通能力，很强的逻辑思维能力和学习能力。6、对工作认真负责，注重细节，肯吃苦，顾全大局。,企业服务,50-150人,深度学习,南京
算法工程师,https://www.lagou.com/jobs/6376754.html,江宁区,20k-30k,孩子王儿童用品股份有限公司,3-5年,本科,母婴行业独角兽、互联网氛围、晋升灵活,岗位职责：1.通过深度挖掘用户的行为数据，从数据分析中发掘市场新动向、潜在客户分布、已有客户需求等信息；2.参与基于大数据平台的创新业务场景、数据产品的设计，负责数据产品的研发交付；3.配合团队完成大数据平台的日常运营工作，为数据分析和展现提供支援；岗位要求：1.本科及以上学历，计算机、数学相关专业，4年以上互联网/IT相关经验；2.精通大数据Hadoop体系的相关技术，熟悉BI工具，具有大数据平台的架构经验。具有Hive/Spark/Storm/Alluxio/Presto/Superset/Kylin等工具的实际开发经验者优先；3.熟悉常用数据挖掘算法，如逻辑回归、决策树、关联规则、序列模式、时间序列等； 强大的数学和统计背景（建模，统计，分析，数学）,消费生活,2000人以上,深度学习,南京
路径规划算法工程师（南京）,https://www.lagou.com/jobs/5899560.html,栖霞区,20k-40k,中智行科技有限公司,1-3年,硕士,包三餐伙食好，高科技公司氛围好,"职位诱惑：硅谷团队,名校大牛,氛围好,包餐伙食好   职位描述：岗位职责：    作为一位路径规划及控制工程师，你将面对来自行为预测，路径的决策与 规划以及运动控制等各方面的挑战，五花八门的机器人领域中的问题等待你来 解决；你将参与开发设计算法来解决在真实世界的复杂环境中自动驾驶的决策问题。 任职要求：1、计算机或相关专业本科及以上学历；2、有 C/C++开发基础，熟悉 Linux 操作系统，ROS 系统。或者熟练使用 Matlab/Simulink 工具；3、对于算法与数据结构有深刻的理解，有扎实的计算几何算法知识；4、能够在多学科背景团队中高效工作。 加分项： 熟悉强化学习，数值优化，模型预测控制，车辆动力学模型，车载系统设计开发。",人工智能,50-150人,深度学习,南京
机器视觉图像算法工程师,https://www.lagou.com/jobs/6586335.html,栖霞区,20k-40k,梦思特科技（成都）有限公司,3-5年,硕士,五险一金 带薪年假 项目奖金 股票期权,主要职责：1. 负责新的图像产品研发，从事图像处理算法工作;2. 维护公司现有的图像监测软件，对已有算法进行改进;3. 根据项目需求进行算法的功能设计、代码实现、性能测试;4. 与前端及后台工程师密切合作，完善图像监测产品的可用性。任职资格：1. 硕士以上学历，本科主修计算机科学或软件工程专业，硕士主修计算机视觉及图像算法研究，专业基础知识扎实，逻辑思维能力强， 英文读写能力强;2. 至少3年计算机视觉算法研发经验，具备扎实的计算机视觉及图像处理功底；熟悉主流的计算机视觉算法；3. 2年以上深度学习算法开发经验，精通至少一种主流的深度学习框架，熟悉常用的深度学习模型并能熟练运用于分类、识别等任务；4.良好的文献检索和阅读能力；5. 精通C++/Python，熟练使用主流的计算机视觉及数据处理开发库，如OpenCV、Numpy、Spicy等等；6. 熟悉Linux/Unix系统与开发环境，会基本的Shell编程；7.熟悉多进程、异步任务和多线程开发;8. 有较强的逻辑/抽象思维能力，善于分析、归纳、描述、沟通和解决问题;9. 具备快速学习能力，敢于接受挑战，积极参与团队合作。,"移动互联网,游戏",50-150人,深度学习,南京
算法工程师,https://www.lagou.com/jobs/6879387.html,雨花台区,20k-40k,北京满运物流信息有限公司,不限,本科,行业领头羊 创新业务 0-1 超级独角兽,1. 3年以上一线互联网公司研发工作经验2. 熟悉机器学习、运筹优化、强化学习等主要理论，有算法系统设计实施经验3. 掌握数据处理和分析技术，能使用Hive/Spark进行海量数据分析4. 有很强的工程实现能力5. 具有较强的商业分析能力和问题解决能力6. 积极乐观、有较强的抗压能力，能积极地推动项目落地,物流丨运输,2000人以上,深度学习,南京
图像算法工程师,https://www.lagou.com/jobs/7125499.html,雨花台区,10k-20k,南京百家云科技有限公司,1-3年,本科,住房补贴；年终奖；地铁周边；餐补,岗位职责：1、负责图像处理、图像分类、目标检测、跟踪和识别等方向相关AI算法的研究、实现和优化；2、针对实际应用，负责图像相关算法在百家云中的业务落地和优化；  任职要求：1、  硕士及以上学历，图像处理、机器学习、计算机等相关专业，一年以上图像算法开发经验；2、熟悉C/C++、python开发；熟练使用opencv等开源视觉库；3、熟悉caffe、tensorflow、pytorch、mxnet等至少一种深度学习框架;4、熟悉图像处理、模式识别、机器学习、深度学习等基础理论知识；5、熟悉计算机视觉和图像处理的常用方法  (包括但不限于：物体检测、跟踪、分割、分类、识别、模型优化压缩等)，有深度学习相关项目经验者优先;6、能够跟踪最新技术，熟练阅读领域论文，并且拥有较强算法实现能力；7、具备较强的解决问题能力、抗压能力、团队合作精神以及执行力。,"移动互联网,企业服务",50-150人,深度学习,南京
深度学习算法专家,https://www.lagou.com/jobs/7020922.html,雨花台区,40k-80k,华为技术有限公司,5-10年,本科,海思麒麟AI算法专家～,1.从事机器学习、深度学习相关领域，有nlp或CV等背景，精通深度学习算法的开发与性能提升；2.掌握深度学习前沿技术，评估关键技术点的算法，在关键技术领域或产品有落地和提升。,通讯电子,2000人以上,深度学习,南京
