job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
深度学习算法工程师,https://www.lagou.com/jobs/6540899.html,南山区,20k-40k,深圳迪巨智能科技有限公司,1-3年,硕士,公司重点项目,职位描述：1.负责人工智能/机器学习/深度学习的算法研究；2.负责算法在运动智能、大数据分析等现实问题中的模型实现和项目落地；3.负责应用模型的开发、监控、改善、优化、迭代工作；4.基于海量数据和真实需求，对业务问题进行定义、分析、方案制定及实施；5.负责对国内外最前沿技术和应用进行跟踪和学习，并结合公司业务情况进行技术预研和项目规划。任职要求：1.统计、运筹、数学、应用数学、物理、信息技术、计算机等相关专业硕士及以上；2.拥有扎实的数学功底，对深度学习方法、数据处理等领域有深入研究和独到见解；3.两年及以上数据挖掘、深度学习等相关经验，具备较强的工程实现能力，至少使用深度学习技术解决过一个实际问题；4.具有较强的编程能力，熟悉C/C++、Python/Matblab；5.熟练使用Pytorch、Caffe、Tensorflow等框架至少其中之一；6.在相关领域内的学术会议上发表过相关paper优先；7.具备强烈的责任心和团队合作精神，能承受较强的工作压力，有强烈的学习意愿、有良好的自我驱动能力。,"硬件,人工智能",15-50人,深度学习,广东
深度学习算法工程师,https://www.lagou.com/jobs/5757016.html,南山区,20k-35k,深圳趣途科技有限责任公司,3-5年,硕士,专业产品团队，专业项目管理，资深教育专家,"岗位职责：深度学习算法的研究和应用，包括以下方向：1. 实时人体/表情捕捉, 3D动画 （手部/脸部/全身）；2. 单目RGB摄影机图像/视频的人体3D转换（手部/脸部/全身）；3. 语音交互，手势交互；4. 使用少数量多视角照片的3D建模（一般物体）；5. 用户能控制的3D人脸生成（Generative Model）；6. 可以生成各种人声音的Text to speech model；7. Speech Animation（脸部）；8. 人体运动分析（Kinematics/Dynamics, Action recognition）；9. 贴图/材质生成，单张图像的BRDF推测；10. 虚拟试衣之类的布料物理运算；有以上某一个方向实际项目经验者优先；任职资格：1.  计算机视觉，人工智能，深度学习等相关方向硕士及以上学历；2.  熟练掌握C/C++，Python&Shell等脚本语言，熟悉Linux开发环境；3.  熟练使用Tensorflow、Caffe、PyTorch、MxNet等任一种深度学习开源框架；4.  熟悉常见的深度学习算法，如CNN，RNN，LSTM等；5.  熟悉神经网络模型的设计、调参、优化方法；熟悉模型压缩、算法性能优化；6.  有深度学习项目大规模样本训练、调优、应用经验者优先；7.  CVPR, ICCV, ECCV等会议发表过论文者优先；","移动互联网,教育",50-150人,深度学习,广东
深度学习算法工程师,https://www.lagou.com/jobs/5199764.html,南山区,15k-30k,深圳市铱硙医疗科技有限公司,应届毕业生,硕士,"人工智能,高端前沿,前景广阔","岗位职责：1、与公司国内外AI团队一起负责机器学习、深度学习相关算法研发；2、负责公司相关医疗AI产品的实现和专利论文的编写；3、维护与优化公司脑医生云平台；技能要求：1、硕士及以上学历，计算机及相关理工科专业；2、2年以上python开发经验，有扎实的数学基础，熟悉机器学习、深度学习相关算法；；3、熟悉TensorFlow, Keras, Caffe, PyTorch等常用深度学习框架至少一种；4、有使用python进行数据分析的经验，熟练使用Python常用库和工具，比如pandas，numpy，matplotlib等；5、有良好的英文文献阅读能力，适应全英文开发环境（包括英文论文／技术文档，英文交流，英文注释等）；6、善于思考，能提出高质量的问题，沟通能力良好，善于团队合作。有以下条件者优先考虑：1、有使用python进行deep learning数据分析的经验，熟悉CNN，R-CNN；2、能够熟练使用腾讯云或者阿里云资源，例如：云服务器、信息安全、IO、存储和网络产品；3、有分布式系统开发和维护经验；4、具有计算机视觉以及数据分析专业背景；5、211、985以及国外名校计算机相关专业毕业并具备相关经验；","医疗丨健康,数据服务",15-50人,深度学习,广东
深度学习算法工程师,https://www.lagou.com/jobs/6583846.html,番禺区,18k-36k,广州市新文溯科技有限公司,不限,本科,五险一金 周末双休 晋升空间 年底双薪,职责描述：1、根据业务需求，负责自然语言处理方向的算法研究、产品开发和性能提升。2、负责领域相关的语料库的收集以及知识图谱的构建。深入研发自然语言处理相关的算法，参与相关产品系统的研发。任职要求：1、本科（统招）及以上学历，计算机、数学、通信等相关专业，3年以上工作经验，有自然语言处理项目经验。2、熟练掌握自然语言处理，信息检索和机器学习的基本方法。3、具备算法产品化能力，熟练掌握C/ C++/ Java/ Python 一种或以上编程语言。4、熟悉至少一种深度学习框架：PyTorch、Tensorflow、Keras、Caffe/2、MxNet。5、对新技术有强烈的求知欲望，乐于钻研，善于分享。,企业服务,15-50人,深度学习,广东
深度学习工程师 - 运营中心,https://www.lagou.com/jobs/7165990.html,天河区,20k-40k,网易（杭州）网络有限公司,不限,不限,大平台,,电商,2000人以上,深度学习,广东
深度学习技术平台部_算法研发工程师,https://www.lagou.com/jobs/7016889.html,南山区,18k-36k,百度在线网络技术（北京）有限公司,不限,本科,大牛云集，领导好，待遇优厚,工作职责：           -推动深度学习平台PaddlePaddle在内部各个业务线中的落地，包括图像、自然语言处理、语音和计算广告等相关业务-实现和探索前沿的机器学习算法，丰富框架的应用案例-关注框架的易用性、前瞻性，以促进框架的正向演化               任职资格：               -对机器学习有独到的理解，熟悉常见的深度学习模型、优化方法-在CV/NLP/Speech等任一深度学习领域有较为深入的研究-熟悉深度学习框架（PaddlePaddle、Tensorflow等），熟悉PaddlePaddle者优先-学习能力强、自我驱动力强，紧跟机器学习的发展动态-在机器学习相关竞赛中取得优异成绩者优先-在国际**会议或期刊发表论文、或有开源项目经历者优先-有较强的实现能力，能从容应对算法实现过程中的调试、性能优化等问题者优先-复合背景，熟悉深度学习多个领域者优先-持有百度技术认证者优先-深度学习工程师认证证书者优先,工具,2000人以上,深度学习,广东
00239-深度学习算法工程师,https://www.lagou.com/jobs/5688784.html,宝安区,30k-50k,影石创新科技股份有限公司,1-3年,本科,年底双薪 绩效奖金 期权激励,工作地点：深圳宝安中心岗位职责：1. 负责研发深度学习、计算机视觉、模式识别算法，应用于全景相机以及全景视频内容理解，以及一些新产品业务的算法开发2. 负责开发和改进物体检测跟踪、场景识别、场景分割、立体几何、深度计算、图像处理等算法任职资格：1.国内211、985本科/研究生以上学历，计算机、信息工程、电子工程、软件工程、自动化等相关专业。2. 在深度学习、计算机视觉、模式识别等领域有深入认识，并且了解各个算法的条件和瓶颈。3. 加分项：（1）具有3D目标检测跟踪、语义分割、模型精简定点压缩等科研或开发经验。（2）在相关领域主流会议或期刊发表过论文 (CVPR/ECCV/ICCV/NIPS/ICML)者优先考虑（3）有2年以上行业相关经验，或有产品化经验者优先考虑4. 具有良好的沟通和写作能力,"硬件,移动互联网",150-500人,深度学习,广东
HAK-深度学习算法（高级）工程师,https://www.lagou.com/jobs/6318130.html,南山区,20k-40k,顺丰科技有限公司,3-5年,本科,弹性上下班；午餐补贴；五险一金；绩效奖金,职位描述：1.负责深度学习训练前的图像数据预处理，包括图像去噪、切割、数据增强等；2.负责目标检测识别领域深度学习神经网络模型开发，包括神经网络框架搭建、模型调参训练及测试、神经网络训练过程优化、网络压缩加速等。3.负责模型性能的测试，模型部署及产品化。 任职要求：1.硕士及以上学历，三年以上工作经验，数学、计算机等相关专业，具备扎实的数学基础和数据处理经验；2.熟悉图像处理常用方法及算法，如图像切割、去噪、增强、压缩、光照平衡等；3.至少熟悉/精通一种深度学习框架，tensorflow/keras/pytorch等；4.熟悉视频及图像领域神经网络分类及回归常用模型，具有丰富的神经网络设计，训练、调优经验；熟悉目标检测及语义分割常用模型，如FasterRCNN/YOLO/SSD等目标检测框架、FCN/UNet/PSPNet等语义分割模型，熟悉常用机器学习算法；5.对深度学习有独到见解，责任心强，善于学习新事物，有较强的分析问题和解决问题的能力；6.具备实际产品全流程落地经验或在国际**会议、期刊上发表过论文者优先。,"软件开发,数据服务",2000人以上,深度学习,广东
深度学习算法工程师(嵌入式端),https://www.lagou.com/jobs/6270385.html,南山区,15k-30k,深圳极视角科技有限公司,1-3年,硕士,待遇丰厚、人工智能、近地铁、颜值高,"职位描述：关于极视角     极视角致力于打造计算机视觉行业的开放生态圈，推动视觉算法的商业化落地应用，让人工智能真正为人类服务；✔ 截止到2018年初，  获得华润、中洲A轮千万融资；✔ 一年两次调薪，关注员工成长、晋升平台广；✔ 有颜值有学历的名校博士研究生团队，团队氛围好到爆；✔ 待遇优厚，期权激励；合伙人计划等你来；✔ 趣味团建、生日会玩不停、要做最有爱最有趣的人工智能公司；      人工智能处于全面爆发的前夜，极视角致力成为计算机视觉领域的大咖，如果你是有智有识有梦想的大神，期待加入，一起成长！工作职责:1.负责公司AI相关嵌入式产品与工具的研发；2.负责产品的系统功能设计，以及系统开发；3.负责深度学习算法的加速与嵌入式移植。任职资格:1.计算机、通信、电子类等相关专业，本科、硕士及以上学历； 2.精通C\C++语言； 3.熟悉tensorflow, pytorch, caffe等任一深度学习框架；4.进行过检测、识别、跟踪、分割等视觉项目；5.熟悉嵌入式linux系统开发工具和常用调试方法； 6.有实际嵌入式项目（例如高通/华为海思等平台）的开发经验优先 7.有图像处理，计算机视觉，深度学习等算法工程化的经验优先","移动互联网,数据服务",50-150人,深度学习,广东
0223R6-深度学习平台组经理/技术中级,https://www.lagou.com/jobs/6528753.html,福田区,30k-50k,中国平安人寿保险股份有限公司,5-10年,本科,"五险一金,绩效奖金,带薪年假,定期体检",,金融,2000人以上,深度学习,广东
