job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
深度学习算法工程师,https://www.lagou.com/jobs/1944142.html,武侯区,15k-25k,成都臻识科技发展有限公司,1-3年,硕士,员工股权、绩效奖、年终奖、年度旅游、体检,"岗位职责：1.负责计算机视觉&机器学习（包括深度学习）算法的开发与性能提升，负责下述研究课题中的一项或多项，包括但不限于：检测、跟踪、分类、语义分割、深度估计、图像处理、视频分析、3D图形与视觉、强化学习、机器人技术相关算法等；2.推动计算机视觉&机器学习算法在众多实际应用领域的性能优化和落地；3.提出和实现最前沿的算法，保持算法在工业界和学术界的领先。任职要求：1.硕士或以上学历，计算机、电子信息或软件等相关专业；2.熟练掌握计算机视觉&机器学习的基本方法；3.较强的算法实现能力，熟练掌握 C/C++ 编程，熟悉 Shell/Python/Matlab 编程之一;4. 算法基础扎实，掌握常见设计模式，具有良好代码风格和质量意识，能独立完成算法模块设计、开发和测试；5.优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情；6.良好的沟通能力和团队合作能力。优先项：1)有较强的研究能力者优先，例如在国际**会议或期刊（包括但不限于CVPR, ICCV, ECCV, NIPS, ICML, AAAI, TPAMI, IJCV等）上发表过论文；2)有较强的代码能力者优先，获得过ACM或其他商业代码竞赛的荣誉，如ACM区预赛金牌、NOI银牌以上、百度之星决赛等，或代码开源在GitHub上并有较大影响；3)有较强的比赛经验者或者在重要数据集的排行榜上排名靠前的优先，这些比赛包括但不限于ImageNet等相关竞赛、Kaggle等一些国内外商业比赛、亚太大学生/国际空中/Robomaster机器人大赛等；4)有较丰富的相关经验者优先，比如有一年以上在人工智能领域公司进行计算机视觉&机器学习方面实习的经验，或来自国内外计算机视觉/机器学习/计算机图形学/数据挖掘等领域内知名实验室。",移动互联网,50-150人,深度学习,成都
深度学习算法工程师（空间轨迹挖掘方向）,https://www.lagou.com/jobs/6420063.html,高新区,20k-40k,成都路行通信息技术有限公司,3-5年,本科,"人性化管理,稳定平台,员工餐厅,核心团队",岗位职责：1. 负责车辆碰撞相关的AI算法研发。2. 负责车辆轨迹数据空间方向的无监督学习等研发。3. 负责算法评估以及算法相关的代码库封装和发布。4. 参与搭建和实现分布式深度学习集群。 岗位要求：1.应用数学、统计学、信息技术、计算机相关专业，研究生及以上学历；3.精通机器学习、深度学习的算法原理和应用，有至少3年以上商业落地项目经验；4.掌握传感器相关知识，有涉及多路传感器应用的项目经验优先；5.有解决领域问题的能力；6.有管理能力或管理方向发展意愿，主动学习、目标导向、抗压力强、乐于接受挑战。 硬性要求：学历要求：硕士学历、软件及数据相关专业基础扎实：精通 算法数学原理，算法源码研究，算法复杂度评估应用要求：掌握 各类算法场景，有相关算法商业落地经验创新要求：熟悉 特殊领域的函数拟合，算法创新性嵌套，自定义实现，大规模并行算法的迁移,"移动互联网,消费生活",500-2000人,深度学习,成都
算法工程师,https://www.lagou.com/jobs/6679694.html,高新区,9k-18k,杭州初灵信息技术股份有限公司,1-3年,本科,"周末双休,年终奖金,五险一金,弹性工作",岗位职责：1、针对具体业务需求进行数据挖掘；2、具有数据洞察力，能够独立地进行数据分析和归纳；3、开发数据产品需要的机器学习模型。职位描述：1、统招本科以上学历，数学、统计、计算机专业优先，具备1-3年相关工作经验，优秀的应届生也可；2、至少熟练掌握Python/R/Java等编程语言中的一种；3、有丰富的机器学习、数据挖掘相关项目背景，有异常检测、相似性搜索研发经验者优先；4、责任心强，具有良好的团队合作精神，学习能力强。5、具有Hadoop集群管理经验优先；,"移动互联网,数据服务",500-2000人,深度学习,成都
算法工程师,https://www.lagou.com/jobs/6378081.html,武侯区,15k-25k,成都顶呱呱投资集团有限公司,5-10年,大专,"大平台,双休,包吃,非外包","岗位职责:1.公司资源项目的数据整理与分析,通过数据分析、调研等手段解决业务问题;2、负责公司相关项目中模型搭建,提高模型准确率与效率3、通过对用户行为数据的挖掘，对用户进行建模，精准刻画用户各种属性；4、运用推荐算法分析客户对不同产品的响应倾向，提高营销的效率，实现精准营销任职资格:1、具有3年及以上的python数据分析/数据挖掘模型开发或运营经验，数据、统计、计算机等相关专业优先;2、具有扎实的统计学基础,并有较强的机器学习建模能力,有基于企业大数据建模经验,并有成功项目案例者优先;3、精通python语言,熟悉基本的数据挖掘模型,如回归,决策树,聚类,GBDT等算法模型; 熟练Java，Scala语言4、熟练使用Pandas、Numpy、Matplotlib等数据分析工具；熟悉tensorflow，keras等级深度学习框架;5、熟悉Hive、Hadoop、Spark等大数据工具；6、强烈的责任心，工作细致，有条理，善于学习，具有良好的团队合作精神，能够承担一定的工作压力；积极向上的工作态度，对数据敏感，热爱数据分析工作;7、有用户画像、推荐系统、分配、派单、深度学习成功项目经验；",金融,2000人以上,深度学习,成都
算法工程师,https://www.lagou.com/jobs/7060458.html,高新区,15k-25k,成都美尔贝科技股份有限公司,3-5年,本科,老板nice、行业领导,岗位职责：1. 理解智能客服业务，负责聊天机器人、客服智能助手、机器质检等智能客服产品的算法研究设计和实现，跟进前沿技术；2. 负责基于在线聊天、语音热线的智能客服助手与实时知识推荐，选择和推进最优算法方案；3. 参与团队完成项目需求分析、算法迭代和优化，与工程研发团队合作，保证项目进度。任职要求1. 具有 3 年以上机器学习应用经验，有智能推荐、智能问答系统研发背景者优先；2. 熟悉机器学习原理，在 NLP、检索模型、搜索算法、深度学习、语音识别等领域有深入理解；3. 熟悉电商服务体系，有客服行业经验者加分。,移动互联网,500-2000人,深度学习,成都
算法工程师,https://www.lagou.com/jobs/6732111.html,高新区,10k-20k,中电万维信息技术有限责任公司,1-3年,硕士,公司稳定 福利好 13薪 定期体检,"岗位职责：1、从事深度学习模型优化算法的研发和产品化落地；2、参与文本实体抽取、关系识别、语义理解等NLP相关模型的算法设计和优化；3、推动计算机视觉&机器学习算法在众多实际应用领域的性能优化和落地；岗位要求：1、研究生以上学历, AI算法领域1-3年经验；2、在深度学习、机器学习、模式识别、图像处理、NLP等方面有一定经验；具备扎实的数学和算法基础，以及良好的编程习惯；3、熟练掌握TensorFlow等主流深度学习框架中的一种或多种；熟练掌握Python,Java，C++语言的一种或多种，能够提供公共库代码。4、熟悉当前流行的深度卷积网络的训练和优化；5、熟悉常见的大数据开发平台和工具（如Hadoop/Hive/Spark/HBase等）；",软件开发,500-2000人,深度学习,成都
算法工程师,https://www.lagou.com/jobs/6037228.html,高新区,8k-15k,成都市映潮科技股份有限公司,1-3年,本科,"高提成,五险一金,公费旅游,职位培训",岗位职责: 1、负责公司智慧乡村应用管理系统的数据采集算法、同时响应行业（价格、产量）预测等数据算法需求，以及其他难度较高的数据技术需求；2、积极辅导、带领团队在算法、技术方向成长进步；3、领导安排的其他工作任务。岗位要求：1、有短视频/新闻媒体软件（如抖音、今日头条）推荐系统、搜索优化、数据挖掘、模型改进、用户画像相关技术及3-5年工作经验，有管理经验优先；2具备强悍的编码能力，精通Python/Go等一项或者多项计算机语言；3、有扎实的数据结构和算法功底，熟悉机器学习、自然语言处理、数据挖掘中一项或多项；4、优秀的分析问题和领导团队解决问题的能力，对解决具有挑战性的问题充满激情。,数据服务,50-150人,深度学习,成都
算法工程师,https://www.lagou.com/jobs/5919903.html,高新区,20k-40k,北京字节跳动科技有限公司,3-5年,本科,六险一金，弹性工作，免费三餐，带薪休假,,文娱丨内容,2000人以上,深度学习,成都
算法工程师,https://www.lagou.com/jobs/7202593.html,武侯区,12k-20k,成都乐动信息技术有限公司,1-3年,本科,"团队氛围好,运动型团队,行业标杆",岗位职责:1.设计算法提升咕咚App的运动记录准确性。2.设计运动记录防作弊算法，增强线上赛事平台公平性。3.研究追踪人体姿态动作算法，识别各类健身动作。岗位要求:1.数学、计算机、自动化等相关专业，本科学历以上。2.具有一定的编程能力，熟练使用Python，SQL，R，Matlab一种或以上。3.数学基础扎实，熟练掌握概率统计、矩阵理论、**化的基本理论。4.熟悉机器学习原理与算法，熟练使用分类、聚类、神经网络模型解决有挑战性的问题。5.较强英语阅读能力，可以熟练检索和查阅英文文献。加入咕咚，你将获得：1、只有你想不到，没有咕咚做不到的福利活动；2、五险+商业险+工资10%住房公积金，一两个月的公积金缴存额就相当于别人交一年哟；3、结婚生子这种人生大事，咕咚也真心为你感到高兴，但心意却必不可少；4、提需求，改bug被掏空了吗？没关系，有美味的点心让你欲罢不能，饿货，来份下午茶吧；5、每月多样化的团建活动，看山看雪看那春暖花开，吃香喝辣尝遍天下美食；6、智能健身房+跑团活动等你临幸，麒麟臂、马甲线将是你的标配，让你成为人群中一道靓丽的风景线；7、这里盛产高颜值的技术控，小哥哥小姐姐们的颜值高到冲破天际；8、这里还有活力无限的boss们等你随时来撩。想要加入独角兽企业，加入新经济100强企业，咕咚将是你的不二之选，做一个让你周围小伙伴为之羡慕的咕咚人，想想都有点小激动呢~你，还需要犹豫吗？,移动互联网,150-500人,深度学习,成都
算法工程师,https://www.lagou.com/jobs/7097360.html,武侯区,20k-30k,成都朴华科技有限公司,1-3年,本科,管理扁平，领导好，福利好，业务高速发展,岗位职责：1.负责计算机视觉&机器学习（包括深度学习）算法的开发与性能提升，负责下述研究课题中的一项或多项，包括但不限于：检测、跟踪、分类、语义分割、图像处理、强化学习、机相关算法等；2.推动计算机视觉&机器学习算法在众多实际应用领域的性能优化和落地；3.提出或者寻找并实现最前沿的算法，保持算法在业界和学术界的领先。任职要求：1.硕士或以上学历（优秀者，本科学历也可），计算机、电子信息或软件等相关专业；2.熟练掌握计算机视觉&机器学习的基本方法；3.较强的算法实现能力，熟练掌握 C/C++ 编程，熟悉 Python/Matlab 编程之一，熟悉一种或多种目前深度学习常见框架; 4. 算法基础扎实，具有良好代码风格和质量意识，能独立完成算法模块设计、开发和测试；5.优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情；6.良好的沟通能力和团队合作能力。,人工智能,50-150人,深度学习,成都
算法工程师,https://www.lagou.com/jobs/6051877.html,武侯区,20k-40k,北京奇艺世纪科技有限公司,1-3年,本科,大平台,岗位职责：1、对文字、图像、视频等进行深度内容理解， 完成图文或视频的多模态语义表示学习；2、负责线上推荐算法的设计与实现，个性化推荐算法模型的设计开发和迭代；3、负责视频及用户侧特征挖掘，优化推荐排序模型；4、追踪推荐、NLP等AI领域前沿技术，将新技术高效应用于业务分析等实际工作中，持续优化技术解决方案。任职资格：1、计算机、数学相关专业本科及以上学历，2年以上机器学习、NLP、搜索、广告、推荐算法相关工作经验；2、对机器学习算法有较深入的研究和理解，包括FM、GBDT、DNN、GAN、DSSM等；3、熟悉常见的network embedding算法；4、熟悉常见的文本、图像、视频内容理解及特征学习；5、熟悉常见的深度学习平台，包括但不限于Tensorflow/keras；6、熟悉常用算法和数据结构；7、有较强的数据分析和解决问题的能力；组织和沟通能力强，思路清晰，有将复杂问题拆解并实施的能力。温馨提醒：如果7天内您没有收到爱奇艺的面试邀请，那么目前我们不会安排您参加后续的面试环节，感谢您的理解和对爱奇艺的关注与认可。,文娱丨内容,2000人以上,深度学习,成都
【WMPS】广告算法工程师-成都,https://www.lagou.com/jobs/6904741.html,高新区,20k-40k,北京三快在线科技有限公司,3-5年,本科,五险一金、免费班车,,消费生活,2000人以上,深度学习,成都
Ai算法工程师,https://www.lagou.com/jobs/6956504.html,锦江区,15k-25k,山东新希望六和集团有限公司,3-5年,硕士,平台大，创新项目，发展空间广，待遇好,职责描述：1.负责相关产品的算法研发工作，包括计算机视觉、深度学习等相关算法的研究与优化；2.负责解决相关产品中的关键算法问题，包括算法方案设计、调优、加速、集成等。 任职要求：1.模式识别、计算机、自动化、电信等相关专业硕士及以上学历；2.具备良好的数学基础；掌握计算机视觉、深度学习等基本知识，并了解上述领域的典型算法；3.具备良好的文献阅读能力，能快速理解、验证文献方法；具备良好的文档撰写能力；4.熟练掌握 C/C++、Matlab、Python；熟悉Tensorflow、MXNet、Caffe等深度学习框架；5.有实际项目开发或参加竞赛经验者优先；在相关领域的国际**会议或期刊上发表过文章者优先。,其他,2000人以上,深度学习,成都
算法工程师,https://www.lagou.com/jobs/6539798.html,高新区,15k-30k,多点生活（中国）网络科技有限公司,不限,本科,大牛团队,岗位职责：1、根据新零售运营相关的业务需求，通过研究、实现和优化相应的算法，解决相应的业务问题，实现新零售运营智能化。2、从数据库中提取相应数据，并进行数据清洗，构造算法及建模所需的数据特征变量。任职要求：1、研究生及以上学历，具有较强的数学基础及逻辑思维能力，专业与数学、概率统计、人工智能相关的优先考虑。2、对算法有一定程度的了解和研究，有通过算法解决业务中实际问题的相关项目经历。3、能熟练掌握python实现算法，同时熟练使用mysql准备算法及建模过程中所需数据。4、具有一定的自学能力，乐于快速学习和接受新的知识领域，有强烈的学习并提升个人算法综合能力的意愿。5、具有较强的责任心，工作勤勉，并具有高效与团队沟通、合作的能力。,"电商,消费生活",500-2000人,深度学习,成都
算法工程师（视觉算法/深度学习方向）,https://www.lagou.com/jobs/6938238.html,武侯区,14k-25k,成都数字天空科技有限公司,不限,硕士,AAA游戏+开放平台,岗位职责：1. 负责计算机视觉和深度学习算法的开发与性能提升，涉及的问题包括但不限于：检测、跟踪、分类、语义分割、强化学习、3D视觉和图像处理等；2. 推动计算机视觉算法和深度学习在游戏、影视领域的性能优化和落地；3. 提出和实现最前沿的算法，保持产品在工业界领先。任职条件：学历：图像处理/机器学习/模式识别相关专业硕士以上学历；知识要求：机器/深度学习，计算机视觉；图像或信号处理；计算摄影；计算机图形学习；线性代数；高等数学；微分几何；专业技能：优秀的分析问题和解决问题的能力，熟练掌握机器学习（特别是深度学习）和计算机视觉的基本方法，熟悉TensorFlow、PyTorch、Caffe，较强的算法实现能力，熟练掌握 C/C++ 编程，熟悉 Shell/Python/Matlab 编程。优秀项目经验：1. 熟悉关键点检测、图像分割、目标检测算法，有实际项目经验者优先；2. 对3D Face、3D Body and Pose、3D Hand Tracking等方面有深入研究，对于3D模型的变形与动画、逼真的阴影/光照渲染、非刚性配准等方面相关研究经验者优先；3. 有较强的研究能力优先，如研究生发表过**作者CCF A类会议或期刊等论文，或本科发表过**作者CCF B类以上会议或期刊论文；4. 有较强的代码能力优先，获得过ACM或其他商业代码竞赛的荣誉，如ACM区预赛金牌、NOI银牌以上、百度之星决赛等；或代码开源在github上并有较大影响；5. 有较强的学术比赛经验或者在重要数据集的Leaderboard上排名靠前的优先，例如ImageNet等学术数据集或者Kaggle等一些国内外商业比赛；6. 有较丰富的相关经验优先，例如一年以上在BAT或人工智能知名创业公司进行视觉算法或工程相关的工作经验，或来自国内外计算机视觉/计算机图形学/机器学习/数据挖掘等领域内知名实验室；7. 个性特点：对解决具有挑战性的问题充满激情，认真负责、严谨细致、积极进取；8. 其他要求：思维条理清晰，良好的团队协作和沟通表达能力，良好的技术文档撰写能力，乐于研究、分享。,游戏,500-2000人,深度学习,成都
算法研发工程师（初中高级）,https://www.lagou.com/jobs/5158746.html,高新区,25k-50k,成都晓多科技有限公司,1-3年,本科,"人工智能,前景广阔,技术氛围","你要做的事：分析数据、发现问题,负责对话机器人核心算法的设计和实现;对已有的算法进行效果优化;配合团队完成智能后台系统的搭建,根据实际运行情况不断优化效果. 基本的要求：计算机,数学相关专业本科以上学历；理解常用的机器学习算法；丰富的机器学习、自然语言处理、数据挖掘的项目经验；工程实现能力强，有系统思维；学习能力强，热爱机器学习、数据挖掘、自然语言处理相关技术；有深度学习，语音合成算法等经验优先，从事过对话机器人相关项目优先。","企业服务,数据服务",500-2000人,深度学习,成都
