job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
算法工程师(J11113),https://www.lagou.com/jobs/6833843.html,新吴区,10k-15k,朗新科技股份有限公司,应届毕业生,硕士,六险一金 年终奖丰厚 不打卡 弹性上班,,"移动互联网,企业服务",2000人以上,深度学习,无锡
遥感算法工程师(J11125),https://www.lagou.com/jobs/6833815.html,新吴区,8k-15k,朗新科技股份有限公司,应届毕业生,本科,六险一金 年终奖丰厚 不打卡 弹性上班,,"移动互联网,企业服务",2000人以上,深度学习,无锡
算法工程师,https://www.lagou.com/jobs/6692271.html,无锡新区,25k-45k,西安纳森信息技术有限公司,3-5年,本科,大型上市企业子公司，稳定性高，福利,岗位职责：1.负责使用最新技术，开发新的AI架构和模型，重点关注深度学习；2.创建和训练AI模型，研究不同的解决方案并执行，为理论概念提供数据支撑；3.调查最新的人工智能技术并评估其效益；4.AI技术在工业（例如生产自动化，机床，机器人，工程）中的实际应用；岗位要求：1.拥有计算机科学，计算机工程，电气工程，数学或物理学位；2.本科5年，硕士3年以上的人工智能实践背景；3.熟悉机器学习技术和AI程序框架（例如TensorFlow）4.丰富的跨行业建模分析和数据挖掘项目经验；5.深入了解统计和预测建模，包括机器学习和数据挖掘。有深度学习算法经验的优先；6.熟悉主数据挖掘工具，如SAS，SPSS，R，Python等；7.熟悉关系数据库和SQL；8..有使用大型数据集的经验，了解分布式计算工具（Map / Reduce，Hadoop，Hive等）优先；11.良好的英语沟通交流能力（口头和书面）；,"社交,企业服务",50-150人,深度学习,无锡
算法工程师,https://www.lagou.com/jobs/6435970.html,滨湖区,8k-16k,中科海拓（无锡）科技有限公司,1-3年,硕士,五险一金 带薪年假 定期体检 绩效奖金,"1、计算机、数学或相关专业硕士及以上学历，2年以上工作经验，有图像处理、信号处理、机器学习、深度学习相关领域背景知识。；2、熟练掌握机器学习基本算法，熟悉各种深度神经网络和常用的模型，如CNN, DBN,SparseCoding, RNN等；3、具有目标检测、物体分割、图像分类等领域工作经验。有相关项目经验更佳。4、对常用的开源实现,如Pytorch, Tensorflow或MxNet等有实践经验；5、熟练掌握C/C++/MATLAB/PYTHON等编程语言，有CUDA开发经验、模型结构改进优化、基于硬件特性优化性能经验者优先；6、宽泛的技术视野，创造性思维，富有想象力，能够独立分析问题，应用多种方法解决问题达到目标；7、有成果可以演示者优先考虑。","数据服务,人工智能",50-150人,深度学习,无锡
教务专员/家庭学习顾问,https://www.lagou.com/jobs/7013862.html,梁溪区,3k-5k,北京世纪好未来教育科技有限公司,1-3年,大专,商业保险 公司体检 住房贷款,工作内容：1. 了解客户并提供专业的课程体系讲解，时刻维护品牌口碑形象2. 通过电呼和CRM平台管理及维护客户资源，有效解决客户需求，保持客户粘性，通过服务为企业创造价值3. 针对不同客户需求提出有效解决方案，提升客户满意度岗位要求：1. 形象气质佳，亲和力强。具备口头表达能力和应变能力2. 学习能力强，可以快速掌握相关知识3. 服务意识佳，能承受工作压力4.     对教育行业有一定了解，或者曾经从事过的优先考虑企业福利：1、工作氛围好，交流沟通无障碍；2、入职即交纳五险一金、商业保险；3、提供企业荣誉股权、带薪年假等福利；4、提供节假日福利、公司体检等福利；5、上市企业，工作中注重员工能力的发挥和成长。,教育,2000人以上,深度学习,无锡
算法工程师,https://www.lagou.com/jobs/6986387.html,无锡新区,10k-15k,江苏阿瑞斯智能设备有限公司,1-3年,不限,五险一金 带薪年假 弹性工作 绩效奖金,"岗位职责：1、负责研发公司图像处理算法2、图片库和算法评价模型的建设、维护和相关应用工具的开发；任职要求：1、专业不限，计算机软件、数学以及相关专业本科或研究生优先；2、具有处理图像数据的经验，熟悉多种图像处理技术：图像数字化处理，滤波等等；3、数学功底扎实，熟悉图像处理相关的多种算法；4、具有较强的编程能力，精通C/C++，熟练使用VS。5、具有良好的专业素养 , 具有团队意识，能够适应快节奏的工作，能承受较大的工作压力","硬件,软件开发",15-50人,深度学习,无锡
图像算法工程师,https://www.lagou.com/jobs/6755653.html,锡山区,10k-15k,无锡威莱斯电子有限公司,1年以下,不限,深度学习,职位描述：1. 负责视觉检测系统中图像相关方面的设计、研发；2. 负责深度学习框架的搭建。3. 负责视觉定位项目中目标定位与识别；4. 负责嵌入式系统算法移植及优化工作；5. 参加系统的现场调试、修改工作。岗位职责：1. 良好的工作及文档习惯。2. 用于挑战新技术，学习能力强。3. 机器视觉等相关专业，具备图像处理及机器视觉的基础理论和算法知识，熟悉OpenCV或其他图像处理库；4.了解GPU并行编程技术，如CUDA、OpenCL等。5.熟练掌握C++/Python至少一种编程语言；6. 学历不限。,移动互联网,15-50人,深度学习,无锡
FPGA算法工程师,https://www.lagou.com/jobs/7028183.html,无锡新区,15k-25k,金鸟科技（北京）有限公司,3-5年,硕士,2-3个月的年终奖，五险一金，大企业,岗位职责：1. 超声算法开发2. 多普勒血流、频谱优化任职要求：1. 硕士及以上学历，电子信息工程、数字信号处理、图像处理、超声物理等相关专业；2. 3年及以上FPGA算法开发经验，优秀的应届毕业生也可考虑；3. 有超声类产品相关经验优先。,软件开发,少于15人,深度学习,无锡
平面设计师,https://www.lagou.com/jobs/5788775.html,滨湖区,5k-10k,江苏唐风汉韵文化创意有限公司,1-3年,大专,绩效奖金、年底双薪、餐补、大牛领队,唐风汉韵是国内资深品牌包装策划设计公司，是追求积极生活，快乐共事，为创造有意义的事情而组建的团队。因此，我们永远选择做一件喜欢并且擅长的事情，选择了和一群有着同样的理想、同样的追求与执着的人在一起，去实现自我价值和我们的价值。我们非常欢迎与我们文化一致的人，热爱设计，并且认可唐风汉韵理念的小伙伴加入我们。~唐风汉韵与坚持设计梦想者同行~不求师出名门，但求专业深度！！！1、接受过系统化的美术学习，大专及本科以上设计类专业毕业。2、有设计类相关工作经验，软件熟练，会C4D渲图者优先考虑。3、思维清晰，能出色的完成版式设计、字体设计、图形设计、极具有视觉冲击力的色彩搭配。3、热爱设计、擅长策略性原创类设计，创新能力强，力求多变，注重细节。4、视觉表现能力强，擅长抓取行业热点、寻求个性差异化。5、追求自我价值的实现，喜欢在挑战与突破自我。6、有个人独立完成的成功案例。（不符合条件者勿扰，谢谢！）,"企业服务,广告营销",15-50人,深度学习,无锡
包装设计师,https://www.lagou.com/jobs/6111837.html,滨湖区,5k-10k,江苏唐风汉韵文化创意有限公司,1-3年,大专,饭贴、满勤、绩效奖金、年度旅游、大牛带队,唐风汉韵是国内资深品牌包装策划设计公司，是追求积极生活，快乐共事，为创造有意义的事情而组建的团队。因此，我们永远选择做一件喜欢并且擅长的事情，选择了和一群有着同样的理想、同样的追求与执着的人在一起，去实现自我价值和我们的价值。非常欢迎与我们价值观一致，热爱设计并且认可唐风汉韵理念的小伙伴加入我们。~唐风汉韵与坚持设计梦想者同行~不求师出名门，但求专业深度！！！- 接受过系统化的美术学习，艺术设计类专业毕业。- 有一年以上设计类工作经验，软件熟练。- 能独立完成版式、字体、图形等设计，极具视觉冲击力的色彩搭配。- 热爱原创类设计、创新能力强，思维活跃，注重细节。- 视觉表现冲击力强，擅长抓取行业热点、寻求个性差异化。- 追求自我价值的实现，喜欢挑战与突破自我。- 抗压和学习力较强。目前暂不招聘兼职或实习生，感谢支持！初心出发，匠心打磨，唐风汉韵十余年专注品牌包装设计......,"企业服务,广告营销",15-50人,深度学习,无锡
