job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
AI算法工程师,https://www.lagou.com/jobs/6848673.html,呈贡区,8k-15k,云南红岭云科技股份有限公司,1-3年,本科,人工智能；算法,"岗位职责：1、结合业务需求设计解决方案，模型构建与监管，方案升级与优化；2、研究前沿大数据机器学习与深度学习技术；3、指导算法工程师方案实现。 岗位要求：1、本科以上学历，计算机或数理相关专业；扎实的数学、机器学习、数据挖掘等理论基础；2、满足以下一个或多个条件a)非常熟悉至少一种主流深度学习算法框架,包括但不限于PyTorch,Tensorflow,MXNet,Keras等；b)熟悉互联网金融、推荐、广告、搜索等各类算法；c)大数据处理经验;d)大规模机器学习算法实现；3、熟练掌握Python、R、C/C++编程两种以上；能够使用Linux；4、优秀的分析和解决问题能力；良好的协调、沟通能力；5、有党建业务经验者优先。","数据服务,移动互联网",50-150人,深度学习,昆明
销售经理,https://www.lagou.com/jobs/7178079.html,呈贡区,15k-25k,杭州微洱网络科技有限公司,1-3年,大专,人工智能 高薪 新兴行业,此岗位为授权代理商岗位岗位职责： 聪明，皮实，自省，本科及以上学历，销冠优先，这个岗位为想回乡创业提供一线城市待遇和**未来智能Saas项目，同时又想有个人职业升级的同学和朋友提供快速通道 1、负责小微智能重点客户的业务发展，以客户生意可持续发展为目标，通过专业能力和对客户敏感度的把握，深入挖掘客户需求，为客户提供高效的电商商铺运营，营销和服务解决方案。 2、基于客户体质和行业产地等情况，深度服务电商客户，实现客户价值和营收目标。 3、基于对电商智能化的深入理解和运营，结合客户需求和痛点，针对性的进行售卖。 4、针对不同体质类型商家，提供快速有效的高效服务和指导，有效帮助客户提高智能化运营能力。岗位要求： 1、全日制大专及以上学历，具备一年以上销售工作经验或者电商相关工作经验，创业者经验优先。 2、出色的学习能力及体系化思考能力，适应人工智能行业的快速发展。 3、有良好的过程管理方法和习惯，自我驱动和抗压性好，能够乐观快速的适应环境变化。 4、喜欢自我挑战，精力充沛，具备在高强压力下出色完成任务的能力。 5、具备B类客户批量服务和销售能力，有一定的运营思维和能力。薪资无责任底薪5-8k+提成,"电商,社交",50-150人,深度学习,昆明
python开发工程师,https://www.lagou.com/jobs/7192514.html,五华区,8k-11k,云南开屏信息技术有限责任公司,1-3年,大专,五险一金、中餐补助、绩效、员工体检,职责描述：1、能够准确理解产品需求，负责爬虫平台功能开发和优化；2、设计和建立相关云平台和数据设施；3、搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中相关的技术问题；4、参与软件工程文档、产品文档编写，满足产品需求；解决项目中遇到的相关问题，进行系统功能优化，保证系统安全、稳定和快速运行。任职要求：1、大学本科及以上学历，3年以上相关工作经验，熟练掌握python语言，以及前端爬虫的基础知识；2、熟练掌握主流框架，精通TensorFlow框架；3、熟悉人工智能中机器学习算法、深度学习算法，如：RF、SVM、DNN算法等。4、有一定的运维经验，善于分析定位和解决问题，了解数据库性能调优；5、具有良好的团队精神和沟通能力，责任心强，善于沟通和合作，能够独立完成工作。,文化娱乐 移动互联网,15-50人,深度学习,昆明
车辆运营-昆明(J12585),https://www.lagou.com/jobs/6763249.html,五华区,6k-9k,上海钧正网络科技有限公司,1-3年,大专,五险一金,,"移动互联网,硬件",2000人以上,深度学习,昆明
市场营销,https://www.lagou.com/jobs/7188931.html,官渡区,8k-10k,昆明艺顶装饰工程有限公司,不限,不限,大牛带队，团队氛围好，15天带薪年假,职位描述：1、通过面销和地面推广，开发有装修需求的客户，邀约到店。2、通过电话回访客户进行有效沟通了解客户需求，寻找销售机会并完成销售业绩；3、维护老客户的业务，挖掘客户的最大潜力；4、定期与合作客户进行沟通，建立良好的长期合作关系。任职资格：1、18-35岁，口齿清晰，，语音富有感染力；2、对销售工作有较高的热情；3、具备较强的学习能力和优秀的沟通能力；4、性格坚韧，思维敏捷，具备良好的应变能力和承压能力。,"其他,广告营销",150-500人,深度学习,昆明
区域销售经理（云南）,https://www.lagou.com/jobs/6122681.html,呈贡区,4k-8k,天津市基理科技股份有限公司,不限,不限,"工作时间自由,高校客户,提成福利好",职位特点：1、云南市场区域销售，自由工作时间，前期有专人教带。2、销售公司自主研发的信息化软件产品，提成比率高。3、高校客户，985/211高校市场占有率50%以上，品牌业内知名度高。4、云南市场已有标杠客户，市场挖掘潜力大。5、商务活动招投标方式居多。岗位职责：1、负责公司科研管理平台软硬件产品的销售；2、需要当面接触潜在客户（高校科研院所类用户）并良好介绍产品功能；3、分析潜在客户产品需求，与售前技术支持配合提供销售解决方案、拓展市场、管理客户关系，扩大企业影响力；4、负责与意向客户的前期跟进、接洽、邀约、宣讲，并拟制合作方案；5、全程参与合作对象的商务谈判，负责草拟、策划上午合作方案，建立广泛和长期的合作关系。职位要求：1、热爱销售工作；2、有to B市场营销经验者优先；3、学习能力强，良好的沟通能力、团队精神，良好的服务意识；4、工作作风严谨、细致，理解客户需求和掌控客户能力强；5、能够经常性短途商务出差。,"电商,企业服务",150-500人,深度学习,昆明
渠道商务拓展/案场项目经理J10670,https://www.lagou.com/jobs/6847487.html,西山区,7k-12k,北京高因科技有限公司,不限,本科,双线晋升 优秀团队 高额佣金,居理新房(Julive)——一站式购房平台 居理新房（北京高因科技有限公司），创立于2014年，注册资本4.5亿元人民币，致力于打造一站式购房平台，拥有专业的高学历咨询师团队，提供从大数据找房、全城看房到低价买房的全程定制化服务，赢得了良好的用户口碑。 历经6年，已经成为国内新房电商领跑者。业务范围目前已涵盖京津冀、成渝、长三角等七大城市群，包括北上广深、苏杭、成都、重庆、武汉、西安、沈阳等31个城市，员工人数近3000人，与全国累计超过200个开发商合作，2019年度GMV超300亿。 凭借取得的优异成绩和规模，居理新房不断赢得国内外资本市场的青睐，先后获得源码资本、祥峰资本、斯道资本等多家知名投资方的注资，58集团也给予战略投资。 2019年8月，居理新房宣布签约迪丽热巴为全新品牌代言人，并完成数千万美元C轮融资。   我们提供的岗位是——驻场项目经理和商务拓展！ 月入过万就满足了？不不不，这只是开始！  【我们能给您提供的】 1、薪酬体系：基本工资5800+高额提成（基本工资包括无责任底薪4500+绩效1300，试用期按照基本工资80%发放）其中从18年4月开始实施的绩效与业绩无关，只要你有过硬的执行力，就可以全额拿到。 2、多类补贴：每人每月可获得全勤奖+电脑补贴+话费报销+打车报销等。 3、福利保障：试用期开始交五险一金+内部员工购房福利+年度体检+年度带薪出游+带薪年假+节假日福利+生日福利+ 每月团建经费。 4、全职业生命周期的培训培养体系：从新人到管理者的每个阶段，均有完善的培训课程，且每个新人均配备资深导师进行入职引导及在职指导。 ①专业培训：入职初期，统一安排约两周的集中带薪培训，从地产行业的专业知识到营销咨询的业务技巧全方位覆盖。 ②入组培训机制：对于新员工安排入组孵化，即由主管全面培育和孵化，帮助新人达到转正标准实现顺利转正。 ③线上自主学习平台——猫头鹰学院，线上培训课程，让学习无处不在。 5、两条个性化晋升通道：一条是专业方向，一条是管理方向 ①专业方向：职级从C1-C7，不断提升，对工作精益求精 ②管理方向：项目经理/商务拓展→项目/拓展主管→渠道主管→城市经理→大区经理 从新人到管理者平均晋升周期为9-12个月，每月均会组织一次管理者公开竞聘。 公司有刚转正就做到主管的超强实力新人，有95年的城市经理，你希望自己成为哪一类？ 6、丰富多彩的员工活动：公司专门设立员工满意部，为员工提供茶歇、零食、甜点等福利，同时还有员工自发组织的读书、撸猫、篮球、健身等各种兴趣小组，让你上班不枯燥，下班不单调！ 7、工作环境：办公室均入驻高档写字楼，办公环境宽敞明亮，舒适整洁；公司互联网扁平化管理，氛围轻松融洽。  【项目经理岗位职责】 1、在公司合作的开发商楼盘驻场，充分了解自己楼盘项目的信息，对自己楼盘的成交量负责，与咨询师对接，一同服务客户； 2、对接开发商，完成与开发商的多层级关系维护工作，处理开发商和客户之间协调沟通工作； 3、在案场进行信息的全面搜集，眼观六路耳听八方，清楚案场情况的方方面面； 4、重点负责合作楼盘项目的回款工作，保证回款的时间点和进度顺利。  【商务拓展岗位职责】 1、负责居理新房领域的楼盘拓展，和开发商的项目负责人达成商务合作； 2、负责合作项目的对接工作，了解项目的最新动态，及时传递给咨询师，保证咨询师能更好地了解项目； 3、负责合作项目的后期回款，保证回款速度； 4、负责开发商的维护工作，保证后续能有更多合作。  【我们需要这样的你】 1、来自一本及以上院校，统招本科及以上学历【我们的小伙伴45%以上来自海外和国内优秀高校，我们非常期待这样你加入我们，一同成长】； 2、认为自己有不错的亲和力、沟通能力、逻辑思维能力以及协调能力； 3、有良好的抗打击能力，愿意和一群加班狂一起工作； 4、为人处世灵活，临场处理能力强，有正直的价值观； 5、渴望和一群优秀的同事一起工作，让自己也变得同样优秀（真正公平、公开和谐的工作氛围）； 6、一颗不安分的心、一颗能披荆斩棘的心、一颗热爱沟通的心。  良禽择木而栖，我在居理新房等你！,移动互联网,2000人以上,深度学习,昆明
项目经理—银行,https://www.lagou.com/jobs/6842759.html,盘龙区,10k-15k,成都数联铭品科技有限公司,3-5年,本科,公司大牛多 办公环境好,工作职责：1、 总体负责金融项目，负责客户主体需求沟通，协调项目组产品、模型、技术同事完成项目建设和产品稳定运营2、 负责项目产品建设期建设以及运营期的产品运营，根据客户情况、行业情况、市场情况实时调整产品属性以及产品运营方式。2、 对项目需求、进度、成本、质量进行跟踪、监督与控制，权衡需求范围、人工成本、交付风险与产品质量，合理控制成本投入，协助项目收款。3、 负责制定项目总体和阶段性计划，并进行任务量化、任务合理分配、风险识别与消除，推进项目计划，竭力保证阶段性计划与总体计划按时完成。4、 负责客户需求对接、相关讨论会议、协调项目组交付，保持紧密沟通，确保项目实施进度和客户满意度。5、 负责项目周期与关键环节的管理，包括项目启动、编制项目计划、识别和控制项目风险、监控项目进度和质量把控。6、 负责执行项目过程中各种重要文档、项目汇报材料的撰写、整理和归档，监督和组织评审各阶段输出的文档，保证文档的完整和规范。任职资格：1、 熟悉银行业务全流程，具有银行客户经理经验、审批经验、产品设计及运营经验。2.、了解银行科技架构，了解信贷系统、核心系统、网贷系统、风控系统等系统情况。3.、了解软件项目管理流程和方法论，通过项目管理专业人士资格认证(PMP)者优先。4、大学本科学历及以上，专业不限。5、 有强烈责任心与主动性，抗压能力强，具有快速学习能力及快速应对能力，能够适应项目驻场和不定期出差。,数据服务,500-2000人,深度学习,昆明
云南BD,https://www.lagou.com/jobs/5894097.html,五华区,8k-16k,杭州火烧云科技有限公司,1-3年,大专,"帅哥美女,五险一金,双休,旅游",职位描述：这是一个O2O销售岗位，客户群体以婚礼行业如婚庆公司、婚礼策划、化妆司仪工作室、婚纱影楼店等等为主的本地商家，需要你能够洞察商家需求，运用自己的销售谈判技巧达成合作并争取相应的资源，并有足够的学习能力和分析能力，为商家提供有针对性的、可行的营销方案，富有挑战性。工作职责:1、收集与整理客户信息，合理制定销售计划，达成每月销售任务； 2、通过电话、拜访和网络相结合的方式进行推广客户的开发； 3、分析客户需求，拟定营销方案，与客户谈判并促成合作； 4、在开拓新市场，发展新客户的同时，做好老客户关系的维护，促成二次销售。5、建立和维护健康稳定的商家合作渠道关系。6、与公司各部门配合，及时处理用户的反馈、投诉和建议，提高用户满意度。任职资格:1、大专及以上学历，经验不限，有良好销售业绩，有面对面销售、互联网、团购、电子商务及广告销售经验者优先；优秀的应届毕业生可以择优录取2、热爱销售、乐于挑战、积极乐观、具备较强的人际沟通能力及逻辑思维能力，思维敏捷，能够准确把握产品优势和客户心理，高效整合内外部资源促成销售业绩.3、具备较强的学习能力和适应能力，快速适应互联网行业的发展，精力充沛，能在高强压力下出色的完成任务。 4、富有激情和创新理念，追求个人职业发展和公司利益的双赢，注重职业升华机遇和优质工作氛围。5、为人正直，诚实可靠，以公司利益为重。 公司现处于快速发展阶段，职业发展前景广阔。晋升通道：区域主管→城市经理→大区经理→销售总监等。福利待遇：1、底薪+提成（非常有竞争力的底薪与提成待遇）2、面对面培训交流机会3、每月精彩不断的团队组织活动4、周末双休，五险一金、法定节假日休息、带薪年假、带薪病假5、互联网最好的销售培训、成长和发展机会,消费生活,500-2000人,深度学习,昆明
区块链开发工程师,https://www.lagou.com/jobs/7198581.html,官渡区,12k-24k,云南金海泰艺术品投资管理股份有限公司,3-5年,本科,工作氛围轻松,岗位职责：1、从事区块链产品的设计和研发工作，完成基于区块链（Blockchain）的架构设计与开发；2、研究区块链技术，运行机制和底层实现等，设计安全协议和架构。任职资格:1、重点大学计算机相关本科及以上学历，3年以上复杂服务器端软件研发工作经验；2、扎实的计算机基础能力，对资源共享业务有一定的理解；3、精通linux，熟悉至少一个开源项目，例如 IBM Hyperledge、Ethereum等；4、熟悉至少p2p传输、数字加密或分布式数据库技术中的一种；5、熟悉至少一种后台开发语言，golang、Python、Java或C++等6、性格开朗乐观，责任心强，积极主动，善于沟通，具有团队精神；7、具有较强的学习沟通和口头表达能力；8、逻辑能力强、思维活跃，接受新事物能力强。,"消费生活,区块链",15-50人,深度学习,昆明
