job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
算法工程师,https://www.lagou.com/jobs/6758624.html,高新区,10k-20k,上海安硕信息技术股份有限公司,1-3年,不限,"牛人带队,领先优势,福利优厚,发展空间大",岗位要求：1、本科及以上学历，计算机、金融、数学、统计学等相关专业；2、1年及以上的相关工作经验，做过风控建模和人工智能项目优先；3、优秀的算法实现和工程能力，熟练掌握Java/Python/Scala等。岗位职责：1、负责设计人工智能核心架构方案，推进智能化金融产品的落地； 2、负责构建金融领域大数据、机器学习和深度学习训练系统； 3、参与公司新项目的评审，进行可行性评估并给予专业建议。,金融,2000人以上,深度学习,苏州
算法工程师,https://www.lagou.com/jobs/7171985.html,工业园区,8k-12k,苏州奖多多科技有限公司,应届毕业生,不限,双休 五险一金全额缴纳 年假15天,工作职责：1、基于海量数据，进行数据清洗，抽取，分析，特征抽取和建模；2、运用机器学习以及深度学习算法对推荐系统，反欺诈，文本实体提取等业务场景进行模型开发维护；3、完成领导交代的其他事宜。任职资格：1、数学，计算机等相关专业本科及以上学历；2、编程基础扎实，熟练使用Python/java/scala中一种语言，熟悉数据结构与算法，熟悉数据分析/算法开发流程；3、熟悉逻辑回归、LDA、GBDT、SVM、深度学习等机器学习算法，有机器学习平台搭建经验者优先；4、热爱技术创新，乐于尝试机器学习领域的前沿技术和热点。,"移动互联网,消费生活",150-500人,深度学习,苏州
算法工程师,https://www.lagou.com/jobs/5316118.html,工业园区,15k-25k,苏州瑞鹏信息技术有限公司,1-3年,硕士,高速发展公司 大牛团队,,"移动互联网,数据服务",50-150人,深度学习,苏州
高级算法研究员（AI-苏州）,https://www.lagou.com/jobs/6764214.html,工业园区,20k-40k,科大讯飞股份有限公司,应届毕业生,博士,技术领先，有竞争力的薪资待遇,工作内容1、负责苏研院图像视频方向核心技术研发；2、负责研究实施和引擎开发及研究成果落地工作；3、 基于核心技术研发，发表高质量论文或撰写专利。职位要求1、博士及以上学历，计算机、信号处理、自动化等相关专业，具备一定的模式识别、图像处理等理论知识；2、英语六级以上，具备中英文学术论文的调研能力，有从事研究型项目的经历；3、具备较好的C、C++或python编程能力，有一定的代码开发经历；4、有较强的研究能力、丰富的研究团队管理经验、较好的沟通能力；5、熟悉图像视频学术发展趋势，主流的开源框架，具有优秀的论文调研能力，动手实践能力强，可以独立进行实验设计、分析和改进能力；满足以下条件的优先考虑：1、熟悉RNN、CNN等深度学习算法及其常用工具如Caffe、Theano、Torch等；2、在CVPR、ICCV等会议或期刊上发表过论文；3、在ImageNet、LFW、Kaggle等国际**比赛上成绩优秀者；4、有计算机视觉方面有较丰富的实际系统研究和开发经验者。,"移动互联网,数据服务",2000人以上,深度学习,苏州
C/C++工程师（算法工程方向）,https://www.lagou.com/jobs/7029479.html,吴中区,20k-40k,苏州思必驰信息科技有限公司,3-5年,本科,国内语音独角兽 E轮,岗位职责1、参与NLP/NLU系统的设计和开发，为用户提供高质量文本解析服务2、独立完成软件设计与开发工作，对代码质量和进度负责；3、负责系统关键模块的设计、开发文档的编写；4、编写和维护单元测试用例；任职要求：1、扎实的计算机基础知识，包括数据结构、算法设计、离散数学等2、3年及以上C/C++开发经验3、了解分布式服务开发方法及其组件，例如：redis，mq，mysql，mongo等4、有团队协作精神，有深入钻研问题的精神和信念5、有NLP/NLU方面开发和优化经验者优先,企业服务,150-500人,深度学习,苏州
算法工程师,https://www.lagou.com/jobs/6838802.html,吴中区,15k-25k,苏州开心盒子软件有限公司,1-3年,本科,福利待遇佳 职业发展好 办公环境美,岗位职责：1.参与智能OCR开发以及相关的图像识别项目；2.负责机器学习平台搭建，算法核心为图像处理和深度学习，研发内容包括版面布局分析.表格理解.图像目标检测.实例分割.字符检测与识别.证照识别等任职要求：1.计算机或电子类相关专业，硕士学位优先；2.具备较强的算法分析和软件实现能力；3.具备机器学习算法基础，熟悉深度学习的常用模型；4.熟悉常用的深度学习框架，如Pytorch.TensorFlow等；5.具备较强的代码能力，熟悉Python或C/C++语言；6.熟悉图像处理算法和OpenCV，具有GPU计算相关经验的优先考虑；7.良好的分析和解决问题的能力；8.良好的团队工作和协作能力。,移动互联网,150-500人,深度学习,苏州
障碍物感知算法工程师,https://www.lagou.com/jobs/7045464.html,相城区,3k-4k,畅加风行（苏州）智能科技有限公司,应届毕业生,硕士,时间弹性,岗位职责：主要从事障碍物跟踪/检测方向，开发障碍物跟踪/检测算法，提高跟踪/检测稳定性；任职要求：1）较强的c/c++开发能力；2）在激光或视觉目标跟踪/检测方向有1-2年的项目或从业经验；3）对目标跟踪/检测有较强的理论基础，有较强的调研算法和读外文文献能力；4）较强的自主学习和团队协作能力。,汽车丨出行,少于15人,深度学习,苏州
激光SLAM算法工程师,https://www.lagou.com/jobs/7090309.html,相城区,3k-4k,畅加风行（苏州）智能科技有限公司,应届毕业生,硕士,包吃包住,岗位职责：主要从事点云地图的构建，优化算法，提高地图精度和质量；利用高精度RTK数据与大地坐标系融合，并进行累计误差的消除；任职要求：1）较强的C++开发能力；2）对激光或视觉SLAM建图方向有1-2年的项目或者从业经验；3）对SLAM建图有较强的理论基础，熟悉NDT，ICP等点云匹配算法；4）较强的自主学习和团队协作能力；5）较强的英语读写能力。,汽车丨出行,少于15人,深度学习,苏州
感知算法工程师,https://www.lagou.com/jobs/6893434.html,相城区,30k-60k,北京智加智行科技有限公司,不限,硕士,无人重卡 高密度人才 全球开发,"职位诱惑：无人重卡 高密度人才 全球开发职位描述：岗位职责：负责自动驾驶系统感知算法相关的研发，包括但不限于1、对图像、点云等数据中的静态场景要素的检测和追踪，如车道线、路沿、地标、路牌、交通标志等。2、对图像、点云等数据中的动态场景要素的检测和追踪，如行人、车辆、其他运动障碍物等。3、融合异构传感数据的场景目标检测和跟踪，对单类数据源感知结果进行优化。4、基于不同场景要素的语义、拓扑等关系或结合结合地图先验进行互相校验，给出不同场景要素的置信度评估。5、给自动驾驶系统的地图创建和定位提供有力支撑。6、给自动驾驶系统的预测决策规划系统提供有力支撑。 任职要求：1、计算机、自动化、数学等相关专业，硕士及以上学历。2、熟悉C++/C或Python，扎实的算法和数据结构知识。 3、有自动驾驶系统或ADAS系统感知算法开发经验，如车道线识别，障碍物识别及跟踪等。4、有视觉、激光雷达、毫米波雷达等传感器融合经验。5、熟悉深度学习或计算机视觉等基本知识。6、熟悉常见的滤波算法如卡尔曼滤波或粒子滤波。7、熟悉常见的视觉特征提取/降纬算法等。8、具备良好的数学能力，熟悉几何、统计和机器学习算法与理论等。 加分项：1、有Linux或Ros开发经验。2、熟悉某类深度学习框架，如TensorFlow, MXNet, Caffe, Torch等，对网络结构设计、训练、大规模数据处理有丰富的实践经验。 3、熟练掌握OpenCV、PCL等开发工具。4、有岗位相关高水平学术论文发表。5、有算法编程竞赛/自动驾驶或机器人相关竞赛经历：如Kaggle、ACM、ICPC、TopCoder、RoboMaster、RoboCon、中国智能车未来挑战赛等。6、在Github或其他开源平台上有岗位相关的高质量项目。",人工智能,50-150人,深度学习,苏州
算法工程师,https://www.lagou.com/jobs/6496512.html,工业园区,3k-4k,苏州中科先进技术研究院有限公司,应届毕业生,硕士,周末双休 完善培训 优厚福利 良好环境,算法工程师（医疗器械）招聘人数：2人岗位职责：1. 配合算法工程师开展图像处理相关算法优化的工作； 岗位要求：1.  熟练掌握一种或多种编程语言，如：C/C++、Python等；2. 熟悉Sklearn库（SVM、RandomForest、BP等）；熟悉opencv库（形态学相关、Sift、Surf、Orb等）及其他常用库；3. 熟练掌握一种或多种深度学习框架，如：Tensorflow、Pytorch、Keras等；4. 熟悉常用的图像分类框架（VGG、Inception-V系列、Resnet等）以及目标检测框架（SSD、YOLO系列、Faster-RCNN等）；5. 具有良好的团队精神和沟通能力，对算法研发有兴趣，工作踏实；6.计算机相关专业硕士研二或者研三在校生。图像算法实习生（人工智能与大数据中心实验室）岗位职责：1. 负责研究新算法，改进现有算法；2. 负责研究并实现图像分析算法；3. 负责处理数据，需要进行一定量的信息检索、数据挖掘；4. 负责编写设计文档以及说明文档；5. 熟悉公司产品，能够熟练使用算法实现公司产品需求。岗位要求：1. 计算机相关专业硕士研二或者研三在校生。点云算法实习生（人工智能与大数据中心实验室）岗位职责：1.点云处理，模式识别，三维视觉，测绘遥感等相关专；2.负责点云分割、配准、特征提取等算法；3.基于点云的目标检测、识别、跟踪算法；4.负责编写设计文档以及说明文档；5.熟悉公司产品，能够熟练使用算法实现公司产品需求。岗位要求：1.计算机相关专业硕士研二或者研三在校生。,医疗丨健康,50-150人,深度学习,苏州
