job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
深度学习算法工程师,https://www.lagou.com/jobs/6469225.html,开福区,15k-30k,开易（北京）科技有限公司,3-5年,硕士,弹性工作、技术大牛、**团队、零食茶饮,工作内容：1. 深度学习计算机视觉技术研发，领域包括但不限于图像分类、目标检测、目标识别、关键点检测、语义分割等。2. 深度学习下，针对特定硬件特点的网络结构模型设计与搜索。岗位要求：1. 计算机视觉或相关方向硕士及以上；2. 具有良好的能动性、沟通能力、团队合作精神；3. 熟练掌握C/C++、Python，有相关项目经历；4. 能够跟踪最新技术，熟练阅读领域论文，并拥有较强算法实现能力，有ACM/ICPC 等编程竞赛经验者优先；5. 熟悉并熟练使用Caffe、MxNet、Tensorflow、PyTorch等任一种深度学习开源框架者优先；6. 熟悉神经网络模型的设计、调参、优化方法，熟悉小模型、移动端模型调参者优先；7. 对样本敏感，有过基于大规模样本的机器学习（深度学习）项目者优先。,"数据服务,其他",150-500人,深度学习,长沙
算法工程师,https://www.lagou.com/jobs/7211962.html,岳麓区,16k-30k,北京宝兰德软件股份有限公司,3-5年,硕士,发展空间大 上市公司 六险一金,"岗位职责：    1.负责OCR图像处理、机器学习、深度学习的实现与改进；    2.负责完成图像算法的实现，结合业务需求进行人脸识别加持证件识别、对比人脸、证件、后台信息记录三者的一致性；    3.收集研究行业内新的技术、算法，不断提高系统对图图像识别的效率与准确率；    4.负责相关方向技术难点攻关、前瞻研究以及应用拓展。    岗位要求：    1、学历要求：硕士及以上，数学或计算机相关专业；    2、在OCR领域有深入的了解，熟悉文本检测、文本识别等核心算法,在图像处理领域有丰富的研发和技术经验；    3、熟悉深度学习常用的算法和优化策略，熟悉常用机器学习算法，有相关研发经验；    4、精通Python、C++等至少一种编程语言，熟悉TensorFlow、PyTorch、MXNet、Caffe等至少一种深度学习框架，熟悉Linux工作环境，对数据结构和算法设计有深刻理解；  5、了解图像处理/深度学习领域的最新研究成果、公开数据集和相关的开源系统；    6、对图像处理、深度学习、机器学习等技术创新与应用充满激情；技术狂热者，乐于和善于完成具有挑战性的技术工作，很强的动手实践能力。",企业服务,150-500人,深度学习,长沙
算法工程师,https://www.lagou.com/jobs/7159721.html,长沙县,10k-20k,湖南长城信息金融设备有限责任公司,不限,硕士,"朝阳行业,央企,五百强",任职要求：1.在统计机器学习/计算机/自动化/运筹优化/应用数学相关领域的专业。至少在分析、预测、优化，NLP，OCR等某一个方向有深入的研究，对数据敏感，善于从数据中发现规律。2. 精通机器学习中的常见模型，如logistic regression、 神经网络、SVM及决策树等。可独立研究学术与工程资料，对实际业务问题建模的能力，有参加过数学建模大赛及其相关算法大赛的候选者加分。3.至少掌握一门编程语言，如Python，java等，有在大数据平台上处理大规模实时数据及应用机器学习模型经验者加分。4. 至少熟悉一种常用的数据库，如Mysql，以及SQL相关操作。5. 在数据分析挖掘、算法设计与开发、机器学习和深度学习等方面有着浓厚的兴趣。6. 有着清晰的逻辑分析和表达能力，热爱技术，乐于分享，对行业和技术的发展有自己的见解。,移动互联网,500-2000人,深度学习,长沙
ai算法工程师(智能运维),https://www.lagou.com/jobs/7184308.html,岳麓区,20k-40k,北京宝兰德软件股份有限公司,3-5年,硕士,五险一金，双休，年终奖，生日福利,"岗位职责    1、致力于智能运维（AIOps）场景下的机器学习应用落地，负责应用性能监控软件中时序数据的运维分析，包括       趋势预测，异常分析，跟因分析等。    2、参与核心数据模型设计，自动化并抽取分析模型落地为实际产品。    3、分析公司业务需求，设计AI软件系统架构，主导技术难题攻关。    4、参与关键组件和代码的CodeReview，评审AI开发人员的系统设计和代码质量，编写技术文档和制定开发规范。    5、推动技术和业务的融合，推动AI团队的架构设计能力提升。    任职要求：    1、本科及以上学历,计算机、数学、统计学专业毕业，硕士以及博士研究生优先。    2、具备3年以上的机器学习、深度学习经验和产品成功落地案例。    3、熟练Python开发语言，掌握SKLearn、Tensorflow、XGBoost等机器学习和深度学习框架。    4、有丰富的数据建模经验，掌握常用的数据建模方法和机器学习算法，如异常分析、回归、分类、聚类，相关性分析等,       对于时序数据分析有经验者优先。    5、有利用机器学习、深度学习框架落地实际项目经验，例如智能运维，NLP，图像处理等领域的项目经验；    6、有智能运维（AIOps）场景下的机器学习应用落地经验者优先。       7、有较强的团队沟通、协调能力, 强自驱力。    8、有AI团队的管理经验优先。",企业服务,150-500人,深度学习,长沙
图像拼接算法工程师,https://www.lagou.com/jobs/7193771.html,雨花区,18k-36k,湖南桥康智能科技有限公司,3-5年,本科,餐补、带薪年假、节日福利、目标上市赚钱,技能要求：图像拼接、处理，三维重建，图像测量，图像特征提取，OPENCV\PCL\OSG，相机标定岗位职责：1、负责图像拼接、量测、处理，深度学习准确目标筛选；2、研究并开发机器人在未知环境中的地图构建算法以及自主定位算法；3、研究并开发机器人自主避障、自主路径规划以及运动规划算法；4、研究并开发基于激光雷达、视觉、深度相机、超声波、IMU、里程计等多传感器融合的室内外场景感知与建模算法；5、负责算法的优化、移植和产品化。 岗位要求：1、有较好数学基础，了解摄影测量和射影几何基本原理；2、掌握计算机视觉和图像处理基本算法，并在如下一个或多个相关方向有较深入研究：相机标定、三维重建、图像测量、图像拼接、图像特征提取、增强现实、图像质量评价等；3、熟练掌握C/C++和脚本语言编程(如Shell， Python， Perl等）；4、熟悉OpenCV\PCL\VTK\OSG 等开源平台；5、具有较强的文献获取能力，英文文献检索和阅读能力；6、具有良好的沟通能力，和良好的团队合作精神；7、有相关实践经验者优先。,数据服务,50-150人,深度学习,长沙
Java算法工程师,https://www.lagou.com/jobs/6036058.html,岳麓区,8k-15k,湖南星汉数智科技有限公司,不限,本科,双休五险一金 年终奖金 团队氛围活跃,岗位要求：1.  本科及以上学历，计算机及相关专业毕业； 2.  熟练掌握Java编程语言，算法基础扎实，具备较强的分析和解决问题能力，了解设计模式；3．掌握基本的文本处理算法，并能对算法进行优化设计；4．熟悉大数据系统架构和开发框架；5．熟悉一种常用的NoSQL数据库； 6．熟悉python、TensorFlow和面向文本的深度学习模型者优先；7．有知识图谱领域实际项目经验者优先；岗位职责：1． 用NLP技术实现及优化相关模型；2． 多维度分析线上线下数据，合理优化模型；3．提供规范的系统设计和代码文档；,"移动互联网,数据服务",50-150人,深度学习,长沙
机器学习,https://www.lagou.com/jobs/3886758.html,岳麓区,10k-15k,湖南星汉数智科技有限公司,不限,硕士,"扁平化管理,周末双休,五险一金,交通补助","岗位描述：1、对前沿人工智能算法和模型的研发和优化，应用场景包括OCR、目标检测/识别、人脸识别、图像分类等；2、将算法落地为工业应用，为公司图像相关业务场景提供服务。岗位要求：1、电子、计算机或数学等相关专业,硕士及以上学历2、对图像处理、计算机视觉和人工智能相关领域有扎实的理论基础,有深度学习经验者优先;3、良好的编程基础，至少熟练使用C/C++/java/python等一门编程开发语言,熟悉常用数据结构和算法;4、具备良好的创新和合作精神，较强的进取心和表达能力;","移动互联网,数据服务",50-150人,深度学习,长沙
算法工程师,https://www.lagou.com/jobs/6817953.html,雨花区,5k-10k,湖南博长钢铁贸易有限公司,1-3年,本科,六险一金 包吃 带薪年假 年终奖 补贴,岗位职责：1.研究钢贸行业数据模型和与行业相关的算法模型；2.负责设计和构建钢贸算法策略，搭建数据平台及运维，数据收集、分析，数据产品、算法的开发和优化，完成技术文档的编写，配合团队完成项目。任职要求：1.本科及以上学历，985/211院校毕业，数学专业，算法模型搭建相关经验1年以上，英语熟练；2.扎实的数学基础和计算机基本功，熟悉各类算法；3.理解用户需求，对工作具有高要求和创新意识；4.具有良好的逻辑思维能力、学习能力、抗压能力和团队沟通能力。,广告营销,150-500人,深度学习,长沙
深度学习算法工程师,https://www.lagou.com/jobs/6524086.html,开福区,7k-14k,湖南视比特机器人有限公司,1-3年,本科,项目绩效，五险一金，带薪年假，年底奖金,"岗位职责：1、负责深度学习/机器学习、强化学习/迁移学习等领域核心算法与技术开发、测试、性能优化2、展开上述算法研究与工业相机相结合的创新性产品研发，按照项目工程化管理规定编写相应的技术文档3、负责参与项目需求分析，进行系统功能模块的详细设计，实现相关核心算法平台的技术迭代与优化，实现产品开发周期的升级迭代    任职要求：    1、本科以上学历，2年以上编程经验2、有较强的算法实现和开发能力, 熟悉C++和Python编程3、熟悉基于深度学习的计算机视觉相关算法，在深度学习、机器学习方面有丰富的研发与技术经验4、熟悉Caffe、TensorFlow、Pytorch等主流深度学习框架之一5、具备实际项目中模型训练和部署经验，有相关工作经验者优先6、有较强的求知欲, 学习能力强和团队合作精神    注：试用期两个月，试用期内发70%",其他,15-50人,深度学习,长沙
文本挖掘算法工程师,https://www.lagou.com/jobs/7084235.html,岳麓区,5k-8k,湖南刺猬安全技术咨询有限公司,不限,本科,完善的晋升机制；年终奖；优秀者待遇可面谈,岗位职责：1.负责对全球安全事件的文本信息进行结构化处理，完成文本抽取算法的设计与实现；2.负责不同业务场景下文本数据的分析、理解和挖掘；3.根据业务场景建立模型，并利用NLP、机器学习、深度学习等方法解决文本分类、命名实体识别、语义计算等实际问题；4.跟进文本挖掘相关领域最新技术，对产品提出改进建议，持续改进和升级现有产品。 任职要求：1.大学本科及以上学历，计算机/数据挖掘/数学/类专业优先，985院校优先；2.具备机器学习/自然语言处理/文本挖掘等领域的研究背景和项目经历，有实体识别、文本聚类、情感分析、语义理解等经验优先；3.有文本挖掘与分析、语义识别工作经验优先；4.具备业务快速学习和理解能力，有强大的自驱力；5.抗压能力强，心理素质佳，有优秀的团队合作意识，良好的沟通能力以及团队协调能力。,"移动互联网,信息安全",15-50人,深度学习,长沙
