job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
美工,https://www.lagou.com/jobs/7215228.html,闵行区,2k-4k,上海蒂梵思服装设计有限公司,不限,大专,公司业务处于上升发展阶段，发展前景好,1.美术专业或设计类专业专科以上学历，1年以上大型网站或电商设计经验。2.擅长网页版面设计、促销页面设计等. 店铺日常维护，如主图、详情等基本页面制作3.;制作各种钻展、直通车等推广图，活动首页策划与设计4.能够有良好的创意能力和领悟能力，能够独立完成活动页面及宝贝描述页面的设计；5.熟练使用Photoshop/Dreamweaver/Illustrator等设计软件，对图片渲染和视觉效果有较好的认识；6.良好的沟通能力和领悟力，团队合作意识强，敬业，有责任感，能够承受工作压力,消费生活,50-150人,美工,上海
电商美工,https://www.lagou.com/jobs/7214514.html,青浦区,6k-10k,上海尚乎数码科技有限公司,1-3年,大专,关注时尚、热点，对流行趋势具有敏锐的触觉,岗位职责：1.负责小程序、淘宝店铺、网站的美工设计，图片处理；2.负责店铺装修、主图、详情页图片的制作；3.负责海报和广告图的设计；4.完成上级领导交办的其他事项。任职资格：1.美术、设计相关专业毕业；2.2年以上主流电商平台（天猫/京东/拼多多等）美工经验，有较强的网页设计和平面设计能力，有相关设计作品；3.熟练运用设计软件，有扎实的美术功底和设计理念，良好创意思维和理解能力；4.良好的团队合作精神和工作态度，服从管理；5.应聘者需提供相关设计作品,"移动互联网,电商",15-50人,美工,上海
电商美工,https://www.lagou.com/jobs/6727025.html,闵行区,6k-8k,南通顿琰网络科技有限公司,1-3年,大专,五险一金 绩效奖金 节日福利,1、 负责亚马逊、ebay、公司商城的美工设计，图片处理，详情页的设计；2、 配合推广人员完成日常推广图片设计。3、 根据店铺相关数据，挖掘产品卖点，定期优化宝贝描述页面，提升产品转化率。4、 配合其他部门完成相应的工作。岗位要求：1、1年以上天猫，京东美工相关经验，有电商美工工作经验者优先。2、熟练掌握photoshop ，熟悉Dreamweaver等设计软件；3、熟悉网页焦点理论，对网页布局有经验的优先；对色彩敏感，能处理各种视觉冲突，有良好的审美观；4、能独立完成亚马逊、EBAY店铺的主页美化，制作促销、描述模板，根据公司产品的上架情况和促销信息自主制作促销广告，对拍摄后的产品图进行校色、美化处理；5、要求能用简介文案表达产品的卖点；6、工作认真，有责任心，踏实肯干，富有团队精神。,电商,150-500人,美工,上海
美工（实习生）,https://www.lagou.com/jobs/7215376.html,闵行区,1k-2k,上海蒂梵思服装设计有限公司,不限,大专,公司业务处于上升发展阶段，发展前景好,工作职责：-店铺日常维护，如主图、详情等基本页面制作-制作各种钻展、直通车等推广图，活动首页策划与设计-独立完成活动页面及宝贝描述页面的设计任职要求：  -大三或大四实习生，设计类相关专业-熟练使用Photoshop/Dreamweaver/Illustrator等设计软件-良好的沟通能力、学习能力及领悟力,消费生活,50-150人,美工,上海
淘宝美工,https://www.lagou.com/jobs/6944641.html,浦东新区,5k-8k,北京泛为信息科技有限公司,1-3年,大专,团队氛围好 六险一金,岗位职责：1.负责淘宝店铺装修，根据店铺产品特性与品牌风格，把握店铺视觉设计风格走向与定位;2.负责淘宝店铺产品图片的修改以及更新;3.负责淘宝直播素材的设计制作及优化。岗位要求：1.大专及以上学历，1-3年相关工作经验；2.具备良好的美术基础，良好的创意构思能力；3.熟练使用Photoshop、Flash、Fireworks、Dreamweaver等常用设计制作软件；4.有较强的功底和审美能力；良好的沟通能力和团队精神。,"移动互联网,广告营销",150-500人,美工,上海
美工003（平面）,https://www.lagou.com/jobs/6039563.html,浦东新区,5k-8k,上海缙嘉科技有限公司,1-3年,大专,扁平化管理 地铁周边 晋升体系,1、完成市场宣传的设计工作，包括产品海报设计、推广图片等2、负责新媒体平台（公众号、小红书等）宣传设计3、PPT方案美化设计及其他工作安排职位要求：1、熟悉PS、AI等设计软件，会操作Indesign/CAD等优先考虑2、创意丰富、思维活跃，能有较强的独立完成能力3、具有较强的审美能力4、简历须附之前作品！,"电商,消费生活",150-500人,美工,上海
淘宝美工,https://www.lagou.com/jobs/6518847.html,杨浦区,6k-9k,舶乐蜜电子商务（上海）有限公司,1-3年,大专,五险一金 带薪年假 商业保险 做五休二,"工作职责：1、负责把控公司产品的视觉设计风格；2、负责店铺首页设计及H5页面设计。任职要求：1、美术、视觉、设计或相关专业学历，1年以上网页设计工作经验（熟悉H5页面的设计及开发、有电商经验、懂日韩商品者优先）；2、具备一定手绘能力、有良好的创意思维和理解能力；有扎实的美术功底、优秀的创意能力、模仿能力、领悟能力、学习能力,对网站色彩、构图等元素触觉敏感,创造力强,思维活跃,想象力丰富，具备创作激情,能准确把握风格定位；3、能独立完成设计及制作任务；4、麻烦请简历中提供作品。","移动互联网,电商",150-500人,美工,上海
美工平面设计,https://www.lagou.com/jobs/6979161.html,徐汇区,4k-6k,上海美市科技有限公司,1-3年,大专,发展前景好，有期权,岗位职责：1、负责完成公司日常设计工作，包括但不限于平面、logo、海报、展板等设计工作;2、负责设计文档，素材，图片资料的整理工作；3、负责跟踪设计效果及客户反馈，并不断予以改善提升。任职要求：1、美术、艺术设计、平面设计、广告等相关专业毕业，大专及以上学历，具有有1年以上平面设计经验；2、拥有良好的职业道德和文化素养，团队合作精神强，理解及沟通能力强，作风严谨、细致；3、熟练使用AI、AE、PhotoShop、CorelDraw、Indesign等相关设计软件，有摄影、手绘经验优先。,"移动互联网,社交",50-150人,美工,上海
美工,https://www.lagou.com/jobs/7199258.html,嘉定区,5k-8k,上海沃茸商贸有限公司,1-3年,不限,创新，成长型企业,淘宝店铺专修，主图，详情页设计制作。需要有相关经验1年以上！,其他,少于15人,美工,上海
网页设计美工（仅实习）,https://www.lagou.com/jobs/7173999.html,徐汇区,2k-4k,上海美市科技有限公司,应届毕业生,大专,丰富项目经验,1、利用公司的易私慕后台，帮助客户完成网页端设计；2、为已有的平台客户提供后续修改、答疑等客户持续服务；3、把控产品网站的设计风格与发展的方向；任职要求：1、美术设计等相关专业专科以上学历，本岗位仅招收实习生；2、具有扎实的美术功底，有较强的网页配色和视觉表现创造力；3、优秀的沟通交流能力，良好的团队合作精神，有工作激情、创造力和责任感。 注：本岗位仅实习,"移动互联网,社交",50-150人,美工,上海
美工设计,https://www.lagou.com/jobs/6364305.html,浦东新区,6k-9k,钰真(上海）信息技术有限公司,不限,本科,跨境女装电商行业排名前三90后团队,1、负责塑造公司网站的整体风格和视觉形象，全面提升公司网站视觉效果；2、负责公司网站首页海报、BANNER的制作及美化；3、负责公司网站促销设计，协助策划进行促销活动的设计排版及促销宣传版面的制作；4、负责公司网站EDM（营销邮件）的模板制作和内容设计；5、负责公司营销渠道广告BANNER图设计；6、负责协助公司网站优化设计（包含细节图标、LOGO、按钮交互等的相关设计）任职资格：1、大专及以上学历，设计、美术、视觉传达等相关专业，1年左右相关工作经验，优秀应届生可接受；2、精通Photoshop、Dreamweaver等设计软件，熟练AI，Flash的使用，能跟随最新的网页设计、制作技术；3、具有良好的设计理念，能准备的把握视觉色彩与网站布局，具有较好的审美视觉和展现能力；4、具有较强的学习能力、领悟力、责任感以及良好的沟通技巧和创新精神。,"电商,其他",150-500人,美工,上海
设计师美工,https://www.lagou.com/jobs/7206132.html,闵行区,6k-8k,苏州商蓬网络科技有限公司,3-5年,不限,升职空间大，能力足够涨薪不是问题,岗位职责：1、对新媒体设计较为熟悉，如微信公众号界面、H5活动界面、banner设计、商品界面设计等；2、快速了解项目需求，能提供创意发想，并能独立完成职责内的创意执行；3、与项目团队其他相关专业部门进行协作，或按照客户或上级要求完成设计工作；4、没有线上与线下，或传统与新媒体的认知牢笼。职位要求：1、拥有较强的平面设计审美能力，经常关注国内外设计作品，良好的美术功底、色彩感觉和创意能力，对色彩、构图等元素触觉敏感；2、能熟练使用Photoshop、Illustrator等设计软件；3、有新媒体运营或电商经验优先；4、学习能力强，有创造力，高度的责任心，良好的沟通能力、领悟能力和团队合作敬业精神,"电商,医疗丨健康",15-50人,美工,上海
美工设计师,https://www.lagou.com/jobs/6755195.html,浦东新区,5k-8k,上海有岸文化传播有限公司,1-3年,本科,坐落在上海陆家嘴核心金融商业区,岗位职责：1、对新媒体设计较为熟悉，如微信公众号界面、H5活动界面、banner设计、商品界面设计等；2、快速了解项目需求，能提供创意发想，并能独立完成职责内的创意执行；3、与项目团队其他相关专业部门进行协作，或按照客户或上级要求完成设计工作；4、没有线上与线下，或传统与新媒体的认知牢笼。职位要求：1、拥有较强的平面设计审美能力，经常关注国内外设计作品，良好的美术功底、色彩感觉和创意能力，对色彩、构图等元素触觉敏感；2、能熟练使用Photoshop、Illustrator等设计软件；3、有新媒体运营或电商经验优先；4、学习能力强，有创造力，高度的责任心，良好的沟通能力、领悟能力和团队合作敬业精神；5、加分项：手绘；,"文娱丨内容,消费生活",少于15人,美工,上海
美工,https://www.lagou.com/jobs/5211003.html,闵行区,6k-10k,上海芬奇商贸发展有限公司,1-3年,大专,"晋升通到,专业发展",岗位职责：1、具有扎实的美术鉴赏力及文字功底；具备相当成熟的视觉表现手段以及执行的经验，对视觉作品具备高度把控与指导能力；2、能够根据品牌特性以及产品特点及营销策略，对店铺进行整体形象规划，并能精准独到的通过视觉设计进行创意表达；3、具备电商思维，熟悉快消产品线上营销手段，参与大型 快消品线上线下营销方案的视觉创意竞标；4、了解各种艺术风格，并且能够遵循项目需要的艺术路线；有丰富的想象力和强烈的创作欲望及激情，思想前沿，作品具有原创性和创新性；5、负责店铺直通车、钻展等广告素材的创意设计制作，体现流量价值；6、负责拍摄的策划和创意工作并指导拍摄。7、优秀的沟通能管理及逻辑思维，清晰的表达视觉创意的想法。任职条件：1、大专及以上学历，美术、艺术设计、广告等相关专业；2、2年以上电商行业相关职位设计经验，有天猫（鞋帽服饰类）成功案例，有双11大型活动及经验者优先。4、审美观强，具有丰富的原创力，对于色彩，结构有较强的把控能力；3、能够准确把握整体风格及视觉表现，对结构布局策划有丰富经验，能独立完成完整店铺装修设计；4、精通Photoshop、illustrator等网页设计和图像处理软件，熟悉HTML、DIV + CSS布局等；5、具备良好沟通能力，有较强的责任心、语言表达能力能力。6、应业务需要，不接受线上美工，凡线上美工请勿投递。,其他,150-500人,美工,上海
淘宝美工,https://www.lagou.com/jobs/7200566.html,嘉定区,6k-10k,上海若安文化传播有限公司,1-3年,不限,弹性时间,工作内容：1、店铺整体风格把控、线上各平台店铺各类设计制作（详情页、海报文案、主图文案....）2、负责天猫淘宝等平台店铺的广告投放素材的创意设计，并不断优化，提升广告素材的投放效果；3、负责产品详情页设计制作，直通车钻展广告图设计创作；4、独立操作店铺陈列，负责店铺日常维护、产品更新，以增强店铺吸引力、产品销量5、配合上级和团队做好组织协调工作及日常事务。 任职资格：1、大专及以上学历，艺术设计、平面设计、相关专业毕业，有服装或舞蹈行业经验的优先考虑2、熟练淘宝天猫等店铺装修，精通PS、AI等设计软件，熟悉Html、CSS等网页前端技术的优先；3、有良好的美学鉴赏、排版布局、色调搭配能力，有独立的创意思考能力；4、有3年以上电商设计从业经验；熟悉店铺装修后台操作；5、具有良好的沟通能力，团队合作精神，服从上级安排，配合工作；,"移动互联网,电商",150-500人,美工,上海
PS美工实习/兼职,https://www.lagou.com/jobs/7083865.html,杨浦区,2k-4k,南京职源者网络科技有限公司,应届毕业生,大专,实习证明,薪资:160/天工作时间 9:30-19:00要求:会ps，大专以上学历，可自带电脑地址:上海市杨浦区黄兴路221号 互联宝地附近有地铁12号线和8号线这个地址,其他,500-2000人,美工,上海
设计师 / 美工,https://www.lagou.com/jobs/3743719.html,闵行区,5k-6k,上海天遂文化传媒有限公司,1-3年,不限,"工作环境好,氛围轻松","1. 设计专业；2. 熟练应用设计软件：PS,AI,ID等；4. 有良好审美，能独立完成VI，海报，书籍，包装等平面设计；5.投递者务必附上作品集。6. 欢迎应届生。",广告营销,少于15人,美工,上海
设计师美工,https://www.lagou.com/jobs/6996920.html,闵行区,5k-10k,上海木轩服饰有限公司,应届毕业生,不限,"发展潜力,技能提升",职位描述：1、负责天猫、淘宝美工设计，服装照片精修，能用简介文案表达产品的卖点;2、对店铺布局有丰富经验;对色彩敏感，能处理各种视觉冲突，有良好的审美观;3、负责每款商品的设计和美化，包括产品照片精修和详情模板设计，日常产品维护、调整、美化;4、店铺主页美化，制作促销、描述模板，根据公司产品的上架情况和促销信息自主制作促销广告位，对拍摄后的产品图进行校色、美化处理;,"电商,其他",15-50人,美工,上海
