job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
淘宝美工设计,https://www.lagou.com/jobs/4960277.html,东莞市市辖区,6k-8k,东莞市鸿亨数控刀具有限公司,1-3年,不限,蓝海行业和产品，职业发展空间大,岗位职责:1.负责淘宝店铺的装修和日常设计维护;2.产品图的拍摄和修图;3.配合运营总监的工作，完成交代任务。任职要求:1.平面设计专业出身，有2年以上淘宝美工和平面设计经验;2.熟练使用单反相机，掌握一定的拍摄技巧;,"电商,广告营销",15-50人,美工,东莞
平面设计美工,https://www.lagou.com/jobs/5608726.html,东莞市市辖区,6k-10k,东莞市美邦电器有限公司,1-3年,本科,良好晋升空间,岗位职责：1、根据品牌定位，负责品牌线上整体风格和视觉形象的把控和提升；2、负责品牌天猫、京东等自营店铺的整体店铺装修、产品详情页工作；负责整体电商视觉概念方案的创作；3、配合品牌线上营销策略，把控各个平台的营销类设计，结合经营策略和每次活动主题，根据品牌形象和流行元素设计出可行的版面主题方案；4、不断编排优化店铺页面结构、商品描述美化、店铺产品图片处理，每款商品的设计和美化，商品展示模板设计，日常产品维护、调整、美化；5、积极配合其他部门的相关工作，提供必要的设计与技术支持。任职资格：1、大专以上学历，视觉传达、平面设计、美术设计、多媒体设计等相关艺术类专业；2、精通PS、Ai等设计软件，熟悉C4D的使用及输出；3、具备快速产出优秀作品的能力，有丰富的实战经验和独特见解；具有良好的色彩感悟力、创意能力和视觉表现能力;善于图文排版，具备新颖的设计创意，良好的视觉表达能力；4、良好敬业精神，能够承受工作压力，沟通能力强，团队意识强，有责任心。5、懂三维建模、摄影优先考虑。,电商,15-50人,美工,东莞
电商美工设计师,https://www.lagou.com/jobs/7106878.html,东莞市市辖区,4k-5k,东莞市快乐易电电子科技有限公司,1-3年,大专,员工宿舍，加班补助，社会保险，绩效提成,主要负责天猫店铺的产品拍摄，制作主图详情页，店铺装修，产品上架，部分配合运营工作。1. 负责1688、天猫等 主图以及详情页制作设计，店铺装修，产品上架，直通车等。2. 熟悉其他网购平台的产品上架，店铺装修，能独立完成产品主图详情页规格款式的图片设计制作，及产品关键词优化，产品上架。3. 熟悉商品关键词取词规则和方法，提高店铺点击率。4. 协助店铺运营，客服，填写快递单号发货等一整个流程。5. 有摄影基础，手绘基础优先考虑。6. 一年以上真实电商平台美工经验。,"硬件,汽车丨出行",少于15人,美工,东莞
平面设计美工,https://www.lagou.com/jobs/6976544.html,东莞市市辖区,4k-6k,广东天米网络科技有限公司,1-3年,不限,早八晚六,岗位职责：1、负责印刷品/小程序/企业官网搭建设计2、负责公司小程序/企业官网的整体形象设计、商品展示设计、详情页优化、整体布局、活动推广等；3、负责品牌整体形象的创意设计，把握店铺的整体风格和视觉呈现，全面提升店铺的整体视觉效果；4、参与产品的拍摄方案策划、对品牌的创意策略和创意构思进行提案工作，配合公司整体的营销策略以达到预期的市场效果；任职要求：1、美术、设计、视觉传达相关专业毕业；2、精通PS、AI等设计软件；3、两年以上平面广告设计或淘宝天猫美工设计经验；4、具有较强视觉效果表现能力和敏锐的潮流触觉；5、具有较强的责任心及沟通能力。,软件开发、企业服务,50-150人,美工,东莞
美工,https://www.lagou.com/jobs/7043086.html,东莞市市辖区,8k-10k,广东中成卫星微电子发展有限公司,3-5年,大专,双休 餐补 五险一金,"美工：岗位职责1、负责证卡、卡类或票证产品绘图,结合创意进行画图设计、编辑、美化等工作；2、按上级的要求及时完成图形及美工设计。任职资格1、美工、平面设计相关专业；2、2-5年以上美工相关工作经验，有证卡、票证美工经验的优先；4、有扎实的美术功底及手绘功底，良好的创意思维和理解能力；5、熟练使用各种制图软件，对图片渲染和视觉效果有较好认识；6、沟通表达能力强，良好的团队合作精神和高度的责任感，有创新精神7、应聘时请提供个人作品。",信息安全,50-150人,美工,东莞
电商美工设计师,https://www.lagou.com/jobs/6860870.html,东莞市市辖区,6k-8k,东莞市爱一百食品有限公司,应届毕业生,大专,90后团队，包吃包住，底薪+提成，福利好,1、负责全公司产品拍摄，店铺装修，产品包装设计。2、能独立拍摄照片、视频。3、对色彩搭配比较敏感4、有一定的手绘能力。5、美术类院校专科以上毕业。,电子商务 移动互联网,15-50人,美工,东莞
电商美工,https://www.lagou.com/jobs/6293752.html,东莞市市辖区,3k-5k,东莞市一方茶叶商贸有限公司,应届毕业生,大专,应届生均可应聘,"要求： 
 熟练操作PS、AI等设计软件； 
 热爱设计工作，有良好的设计感；
 有美术或拍摄经验优先；
 有良好的团队合作意识。",电商,少于15人,美工,东莞
淘宝美工助理,https://www.lagou.com/jobs/6769473.html,东莞市市辖区,4k-7k,深圳市单车教授科技有限公司,1年以下,不限,福利待遇 工作时间,职位描述：技能要求：精通PHOTOSHOP、AI，熟悉CDR、DW、C4D岗位职责：1、网店商品图片处理；商品主图、SKU、描述详情页设计制作，排版和优化升级，设计制作等。2、网店装修。3、活动图片的制作4、图片精修任职资格：1、大专及以上学历，设计和美术艺术类专业优先；2、有至少1年，网店美工设计经验(独立或参与设计制作过的商品页面不低于30个）3、能根据要求对商品页、主图进行设计制作4、有较强的口头表达能力及沟通能力。5、熟悉淘宝、天猫、阿里巴巴、速卖通作图规范。6、能够深入理解产品，观察对比分析竞品、能够独立思考和工作，敢于挑战自我，有责任感。7、热爱运动、热爱骑行、热爱健身者优先，对专业自行车熟悉者优先。8、懂单反拍照着优先。我们提供1、良好的工作环境。2、弹性工作时间：早9点00上班，不打卡，双休，有年假。3、综合薪资4K~7k（底薪+绩效）4、管饭、可包住（高级单人公寓）、五险、自行车随便骑5、精良的专业设备,"电商,其他",15-50人,美工,东莞
淘宝/天猫美工,https://www.lagou.com/jobs/7171668.html,东莞市市辖区,3k-5k,东莞市纽凌电子商务有限公司,1-3年,不限,五险一金 绩效奖金 住房补贴 年底双薪,工作职责：1.负责各平台店铺的整体形象设计、整体版面布局、装饰工作；2.负责各平台店铺页面更新、促销活动的页面创意设计；3.结合营销策略，针对活动产品进行创意设计；4. 制作各期专题推广海报，提高点击和转化；5.根据销售策划的安排，自主合理地安排时间分配，确保产品上架等页面落实。任职资格：1. 全日制大专及以上学历，美术类专业；可应届毕业生实习；具备深厚的美术功底和策略性思考能力，对于创意、画面构图、色彩运用有独到的见解；2.有较强的学习能力，知识更新能力，能适应不断更新的知识结构，工作流程及品牌文化理念；3.具有高效的执行力，积极主动的工作意识，细致认真，有耐心；4.熟练把握产品、品牌的风格，沟通理解能力良好；5.精通PS、AI等设计相关软件，熟悉设计快捷键使用；6.具备一定的网络购物经验，熟悉各个平台购物流程；7.投递简历时请附上相关作品或网页链接。8.不接受线上全职，雇佣平台上的美工，只接受坐班美工，非诚勿扰Benefits 福利待遇：1.五险一金，享有国家规定的法定假期，正式员工每年5-10天带薪年假。2.富竞争力的薪酬水平及调薪方案（幅度10%－50%），月度绩效奖金、年底双薪及丰厚的奖金分红。3.合理公平的晋升机制，绩效跟踪员工发展轨迹，视能力培养及提拔成为管理级别员工。4.以结果为导向考核，实行导师实训机制，员工激励计划，奖励出国培训及旅游。5.温馨舒适的办公空间，自由灵活的办公形式，为员工提供高档居家式住宿环境，办公园区配备校园式餐饮膳食机构。6.年度体检，定期组织不同形式的娱乐活动，新颖的零食文化。7.享受人民币15000-30000元的松山湖专属新引进人才及东莞市专项人才补贴。8.工作制：灵活考勤，办公室一周5天40小时（业务部门根据需要实行大小周轮休），仓储中心一周6天48小时。在人才战略上，纽凌致力于吸纳与培养初进入电商行业的你成为我们销售团队的核心成员甚至管理层，导师培训及绩效跟踪将帮助员工以稳定踏实的工作态度来迎接高强度的发展节奏，以打好坚实的基础来应对发展挑战。如果你具备强烈的事业心，高度的执行力以及抗压力，不甘于朝九晚五的枯燥生活，这里将为你提供不平凡的发展平台。纽凌愿伴你一起成长，助你蜕变，在公司业绩目标达成的同时，与全体员工共享利润成果。,电商,15-50人,美工,东莞
淘宝天猫美工设计,https://www.lagou.com/jobs/6769370.html,东莞市市辖区,6k-12k,深圳市单车教授科技有限公司,1-3年,大专,福利待遇 工作时间,技能要求：精通PHOTOSHOP、AI，熟练CDR、DW、C4D，若还懂摄影那是再好不过了。岗位职责：1、负责公司各渠道网店页面效果和整体风格的更新、调整、把控。2、网店商品图片处理；商品主图、SKU、描述详情页设计制作，排版和优化升级，设计制作等。3、活动图片的制作。任职资格：1、大专及以上学历，设计和美术艺术类专业优先；2、有至少2年以上专业网店美工设计经验(独立或参与设计制作过的商品页面不低于100个）3、能根据实际产品把控整个店铺风格（色彩、元素、布局），能系统性规划并执行整个工作流程。4、有较强的口头表达能力及沟通能力，有多人协作经验。5、熟悉淘宝、天猫、阿里巴巴、速卖通作图规范。6、较强的商品详情页面、图片选图能力以及优秀创意表达能力；7、能够较好且理性的的理解产品，观察对比分析竞品、能够独立思考和工作，能够主动提出设计方案；勇于创新，敢于挑战自我，有责任感。8、热爱运动、热爱骑行、热爱健身者优先，对专业自行车熟悉者优先。9、懂单反拍照着优先。我们提供1、良好的工作环境。2、弹性工作时间：早9点00上班，不打卡，双休，有年假。3、综合薪资6K~12k（底薪+绩效）4、管饭、可包住（高级单人公寓）、五险、自行车随便骑5、精良的专业设备,"电商,其他",15-50人,美工,东莞
网站美工/网络美工,https://www.lagou.com/jobs/6990931.html,东莞市市辖区,6k-8k,东莞市博球投资管理有限公司,1-3年,大专,包吃住五险房补交通补助带薪年假节日福利,"职位描述：1、负责网站建设、网站专题、网络推广等美术创意制作工作；2、按照网站建设和网络推广要求制作各种不同类型的美工作品；3、全面支持网站建设和网络推广过程中所需要的各种图片和网络广告制作工作；4、协助网页设计人员对公司网站风格的把握，色调搭配，布局合理性，图片整理处理等等；5、不断丰富和提高自身的美术设计能力，为网站建设、专题建设提供更好的服务。任职要求：1、美术、设计等相关专业专科或以上学历；2、1年以上相关专业工作经验、有优秀的艺术素养；3、熟悉医疗行业网站建设、网络广告、网站专题建设等工作；4、能够熟练运用Photoshop、Illustrator、Fivework、Flash等设计软件；5、创新意识强，学习能力强，具有团队合作精神；6、有医疗网站设计经验者优先，对医疗页面设计转化效果有独到见解者优先；7、思想敏锐活跃,具有丰富的视觉创作经验和独到的审美修养；8、具备优秀的网站整体策划、设计能力,有丰富的网页设计经验;9、熟练处理CSS与IE6、IE7、IE8、FireFox等浏览器兼容问题；10、有医院工作经验两年以上的优先考虑。",医疗丨健康,50-150人,美工,东莞
