job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
美工设计,https://www.lagou.com/jobs/7102385.html,栖霞区,4k-7k,南京迈疆智能科技有限公司,1-3年,不限,五险一金 双休 大疆无人机,线上：制作社交平台(如Facebook，Instagram)，宣传和广告图片。制作eBay等电商平台所需要的图片。制作官网上所需要的图片和操作网站前台，进行网页排版等。线下：    公司内部的促销桌卡，海报，广告等。制作产品彩页，产品促销宣传单页等。一些简单的产品物料图片设计    任职资格：1. 大专及以上学历，熟悉网店平台1 年以上等专业网店装修设计，在网店担任过产品、页面设计者优先；2. 精通美工软件Photoshop、Illustrator、Dreamweaver AI FLASH 等；熟悉Flash设计和 GIF 动画设计；有一定的美术功底及平面设计水平；3. 具有良好的网页及平面设计能力、丰富的网站制作经验；4. 熟悉界面设计的流程方法，出色的设计语言表达能力，优秀的创新与沟通协调能力；5. 美术设计相关专业毕业，能够持续接受工作压力 和挑战，工作态度端正、耐心，细致。,"硬件,移动互联网",50-150人,美工,南京
网页美工,https://www.lagou.com/jobs/3561426.html,鼓楼区,3k-6k,南京同善信息技术有限公司,1-3年,不限,"年假,保险,股权",岗位职责1、各类网站及移动端页面的设计；2、产品界面的设计、编辑、美化等工作；3、与开发人员配合完成各类网站及相关产品的前后台页面设计和编辑； 4、其他相关各类活动、宣传及专题的图片设计；任职要求：1、具有良好的美术功底，优秀的艺术想象力、设计创意能力； 2、能够熟练使用Photoshop、AI、Dreamweaver、Flash等设计软件3、熟悉Html、CSS样式表； 4、具备团队合作精神，积极的工作态度、较强的责任心，良好的沟通技巧和学习能力； 5、能够承担一定的工作压力；6、有工作经验者优先考虑；,"移动互联网,企业服务",少于15人,美工,南京
美工,https://www.lagou.com/jobs/4479277.html,江宁区,4k-8k,南京棠品信息科技有限公司,3-5年,不限,"钱包鼓鼓,福利杠杠,晋升广广",岗位职责：1、负责淘宝/天猫店宝贝主图、详情页排版、首页装修；2、负责店铺各种大促活动的设计排版及促销宣传版面；3、配合运营设计推广宣传图、直通车及钻石展位推广图片等；4、负责公司产品包装、文化衫、手提袋等的设计；5、能够配合媒体运营制作朋友圈海报、微博图片、微信等媒体用途；6、日常单品拍摄、视频拍摄和剪辑；任职要求：1、有三年以上天猫或淘宝店铺设计经验；2、熟练操作Photoshop、Illustrator、Dreamweaver、Fireworks等相关网页设计软件；3、有扎实美术功底，艺术设计等相关专业大专以上学历，对网页设计的构图、色调等都有独到的见解；4、能够画漫画者优先；5、能够独立摄影者优先；6、对流行趋势有了解，热衷追求时尚品，能够及时将时尚元素转化到店铺的设计中。7、对事业有追求，责任心强，学习能力快；8、作为美术工作者一定要追求细节和完美。,"电商,消费生活",50-150人,美工,南京
平面网站设计师/美工,https://www.lagou.com/jobs/4951011.html,江宁区,3k-6k,南京美酷信息科技有限公司,不限,大专,"双休,五险,餐补",岗位职责：1、负责网站页面UI设计包括手机站的前端设计；2、负责线上推广专题活动的海报以及页面设计；任职要求：1、专科以上学历；2、熟练运用Photoshop软件，并且熟悉CorelDraw、Fireworks、Dreamweaver 、Flash等软件；3、懂得基本的HTML，CSS，会使用Dreamweaver或其他网页设计工具；4、优秀的审美观与色彩感，优秀的整体搭配布局能力，准确把握网站整体风格设计，对用户体验有独到见解；5、有过外贸电商相关设计从业经验的优先考虑！6、发送简历时请附带个人作品，案例网址及相关作品；,电商,15-50人,美工,南京
淘宝美工,https://www.lagou.com/jobs/7184081.html,江宁区,4k-6k,南京安妮森林电子商务有限公司,1-3年,不限,上升空间大,任职要求 ：1、有淘宝/天猫设计相关工作优先 2.、熟练操作Ps、Lr 等，对人像修图比较熟练。工作内容：1. 负责店铺设计、图片修图、图片设计。2.负责网店活动页面设计、产品图片优化、网页整体视觉效果的创意及美化排版等。3. 负责产品图白底图细节图制作。4.领导交代的其他工作内容。,电商,50-150人,美工,南京
美工设计,https://www.lagou.com/jobs/6532545.html,栖霞区,4k-8k,半圆（南京）网络有限公司,1-3年,大专,餐补 周末双休 五险一金 加班补助,技能要求：美工，平面设计，网页设计1、负责品牌形象图的设计与制作； 2、负责网站设计；3、广告宣传资料的设计；4、具有良好的创意构思能力，对色彩有深刻的把握能力；具有提炼精华及广告文字编辑能力； 5、大专及以上学历，美术类、艺术设计相关专业优先。6、精通AI、ID、SKETCH,"社交,教育",50-150人,美工,南京
美工设计实习生,https://www.lagou.com/jobs/7179731.html,建邺区,2k-4k,南京坤祥文化传媒有限公司,应届毕业生,大专,注重个人能力培养，晋升空间较大，薪资可谈,岗位职责：1、设计线下餐饮店的菜品活动图；2、58商家后台图片上传 。任职要求：1、熟悉平面设计软件；2、有较强的视觉效果功底，大专及以上学历，美术、设计、广告等相关专业实习生；3、有美食类目工作经验者优先考虑；4、投递简历，请附上作品或作品链接；5、仅接受实习生，至少能工作到8月份。,社交 广告营销,15-50人,美工,南京
美工,https://www.lagou.com/jobs/4971378.html,江宁区,4k-6k,南京莉莉丝绸贸易有限公司,1-3年,大专,"美工,电商美工,平面设计",职位描述：任职要求：1：负责公司店铺的装修设计工作，包括首页广告图片制作及美化、整体布局、活动广告和相关图片的制作等；2：负责配合营销部门或品牌部门，完成店铺主题活动的页面设计；3：根据营销部提供的文案，把商品实物图与针对性文案结合，制作出符合产品定位的商品详情页面；4：协助推广对推广端图片进行优化处理，提升点击率；任职要求 1、专科以上学历，美术设计类及相关专业毕业，有一年以上电商平面设计工作经验； 2、 熟练掌握Photoshop、Adboe Illustrator 这两款软件的使用，熟悉Dreamweaver更佳； 3、有较强的修图和鉴赏能力，创新思维和审美能力强，能独立完成各种设计方案、平面图制作； 4、责任心强，工作效率高，逻辑思维严密，拥有较强的沟通协作能力和团队合作意识，能在压力和富有挑战的环境下工作；,电商,50-150人,美工,南京
电商美工设计师,https://www.lagou.com/jobs/6721226.html,鼓楼区,5k-8k,南京边栏文化传播有限责任公司,1-3年,大专,工作氛围轻松,工作内容：1.能够独立完成天猫淘宝、苏宁或者京东的首页设计（首页＋框架页），有较强的色彩把握及美术功底，注重细节，思路活跃，并能够根据运营提供的建议持续优化；2.能够独立完成产品详情页的打造，了解如何抓住消费者痛点进行设计，同时根据消费者的反馈快速迭代；3.对新产品进行文案优化，描述美化，结合商品特性制作成宝贝文描；4.设计各种直通车、钻展视觉广告图片；职位要求：1.全日制本科及以上学历，美术或设计等相关专业毕业；2.有2年以上的电商美工设计经验；3.具备美术功底、有较强的色彩感；在线美工不考虑。,电商,少于15人,美工,南京
平面设计美工,https://www.lagou.com/jobs/6637137.html,江宁区,5k-10k,南京耐诺网络科技有限公司,1-3年,大专,超级福利：全员分红+股权激励,岗位职责：1、负责公司形象宣传、产品包装设计的工作2、负责公司天猫、淘宝等网店首页，二级页面，宝贝描述，活动广告及其相关创意图片制作；3、配合推广运营设计公司展台、产品宣传手册、广告画面、海报等平面设计类工作；4、能独立做出概念设计方案，能精准地阐述出设计理念5、优化用户视觉体验，完善包装及网页页面设计与流程；6、完成上级交待的其他工作任职条件：1、大专及以上学历，平面设计相关专业2、熟练使用AI、PS、InDesign、CorelDRAW等平面相关软件3、扎实的美术功底，良好的色彩感觉，视角新颖独到，热爱平面设计工作4、良好的合作意识和责任意识，学习能力强，工作细心，富有责任感；5、良好的沟通能力，乐于配合和协作他人，高效率完成工作工作时间：单休，每天上班7小时上午：09：00-12：00下午：13：30-17：30薪资福利：薪酬结构=基本工资+绩效奖励超级福利：全员分红+股权激励五险：按照国家和地方相关规定公司为员工办理养老、医疗、工伤、失业、生育保险等；年度旅游：每年至少一次公费国内外旅游专业培训：公司将根据工作及员工发展需要，定期安排员工进行业务专业技能培训及考评，以提升员工的业务水平。职务升迁：公司为全体员工提供公平晋升的机会；公司的政策是优先从公司内部提拔各方面表现突出和具备管理潜力的员工，接替空缺管理岗位，以承担更大的责任。薪资晋升：根据工作表现，公司每年都会有2次给员工加薪的机会。重点！重点！重点！只要您有能力，公司支持内部创业；如果您为公司做出突出贡献也可成为我们的股东之一！！！,"移动互联网,企业服务",15-50人,美工,南京
