job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
淘宝天猫美工,https://www.lagou.com/jobs/7169512.html,昆山市,5k-6k,山东德海生物科技有限公司,3-5年,大专,五险一金 午餐补助 可带宠物,岗位职责：1.负责公司、店铺网页设计制作，页面更新以及美化修饰；2.负责产品的版面处理和详情页设计，根据既定产品的定位，并配合文案文字进行设计；3.负责配合店铺活动策划和相关主题，对页面的视觉素材进行收集、设计；4.要求具有独到的审美修养，优秀的整体搭配布局能力，准确把握网站整体风格设计；5.善于创意，注重细节，能独立高效率地完成任务，对作品有不断追求完精神特质。职位要求：1.有网店美工经验者优先；2.熟悉/页面要求、设计流程，具有良好的设计理念，能较好的把握视觉色彩与网站布局，具有较好的审美视觉和展现能力；3.熟练使用Photoshop、Coreldraw、Illustrator等图形设计及网页编辑软件，能跟踪的潮流热点和网页制作技术进行创意设计；4.具有较强的学习能力、责任感以及良好的沟通技巧和创新精神。,电商、消费生活,50-150人,美工,苏州
美工实习生,https://www.lagou.com/jobs/7214940.html,工业园区,3k-6k,江苏智沃信息技术有限公司,应届毕业生,不限,轻松团队氛围、弹性工作时间,大专以上学历，美术、平面设计等相关专业。熟练使用PS、AI、CDR、Dreamweaver等流行设计软件。有一定的文字功底，有良好的设计创意和出色的视觉创作能力，能及时把握客户需求，快速准确的领会设计意图。工作责任感强，能承受一定的工作压力，有美工相关经验的优先,移动互联网,15-50人,美工,苏州
美工,https://www.lagou.com/jobs/6787921.html,姑苏区,5k-10k,上海籽玉文化发展有限公司,1-3年,大专,包住宿 交通便捷 美女如云,1.根据提供的淘宝店铺进行统一规划设计；2.淘宝页面制作，对页面风格、主题色彩进行优化调整 ；3.按照运营及推广的要求设计图片 ；4.熟练使用PS、AI、UI、DR、PR等；5.口头沟通、倾听、书面沟通 ；6.有创新能力、解决问题能力、推断评估能力7.计划和执行能力 3.4准确性、效率、计划和组织,"移动互联网,电商",50-150人,美工,苏州
前端工程师（美工）,https://www.lagou.com/jobs/7184038.html,工业园区,4k-8k,苏州曼捷科智能科技有限公司,1-3年,本科,"意外保险,项目奖金,年度旅游,,假日福利",岗位要求：1.  全日制本科学历，美术、设计或计算机相关专业；2.  精通HTML、CSS；3.  熟悉 Photoshop、Illustrator、CoralDraw、Sketch、Dreamweaver等。岗位职责：1. 参与需求讨论，充分理解并负责产品的界面设计，包括网站界面、移动端软件界面；2. 快速搭建静态页面，并输出给前端工程师；3. 完成公司安排的其他事宜等。,移动互联网 企业服务,15-50人,美工,苏州
美工助理,https://www.lagou.com/jobs/5886503.html,昆山市,3k-4k,上海巽力互联网科技有限公司,应届毕业生,大专,"创业公司,发展空间大,绩效奖金",职位描述：1、负责软件，配合营销活动的撰写文案；2、负责公司微信公众号的内容撰写与运维工作，包括内容搜集、整理、编辑及发布；3、负责公司宣传，开拓线上市场；4. 各种图片制作处理，多种模版的设计5. 负责对公司的产品卖点、创意进行挖掘和提炼，撰写产品推广文案，产品介绍等资料;6. 负责公司形象展示宣传、产品图册设计、宣传册设计等平面类设计工作；上班时间：9:00-6:00 周末双休、按照国家法定节假日放假，不加班！公司聚会、聚餐、旅游等各种福利。欢迎应届毕业生，接受实习生。,"企业服务,移动互联网",15-50人,美工,苏州
电商美工设计,https://www.lagou.com/jobs/6674629.html,吴中区,5k-8k,苏州普福斯信息科技有限公司,1-3年,大专,自主项目，发展空间大，精英团队,岗位要求：1、大专及以上学历，美术、艺术、设计、多媒体设计或相关专业；2、2年以上淘宝、京东、苏宁等店铺设计经验；3、熟练使用Photoshop/illustrator/Coreldraw/等设计软件；4、具有良好的审美观和色彩感，具备整体搭配布局能力，准确把握店铺的整体风格，自主创新和理解能力强；5、主动性高，善于沟通、耐心细致，具有良好的团队合作精神岗位职责：1、负责公司京东商城、淘宝整体店铺设计，能够独立完成首页以及详情页设计等；2、完成活动海报、主题页、宣传图片等设计与制作；3、协助完成后台图片的上传；4、配合上级领导完成交办的其他事宜。面试时需要携带个人作品（源文件）,"移动互联网,数据服务",50-150人,美工,苏州
淘宝天猫美工,https://www.lagou.com/jobs/7202989.html,昆山市,5k-7k,苏州聚千汇贸易有限公司,3-5年,不限,公司具有很好的发展前景,"职位要求 1、负责店铺整体风格设计,定期更新店铺主页,包括页面、栏目、图标、LOGO、广告等,不断优化店铺网页结构； 2.收集产品资料和信息,根据公司不同时期需要对相应产品制作所需效果图片,包括对商品特色突岀、功能描述、产品口号创意等设计； 3负责处理日常产品图片,制作宣传促销图片和活动专题页面； 4.配合运营及推广人员制作并优化直通车及钻石展位聚划算等广告图片； 5.指导或参与品牌推广所需视频、图片、包装的设计和拍摄； 6商品详情页,手机端详情页的设计与制作。 工作时间 每周做六休一 上班期间 8：30—17：30年终奖励。",其他,15-50人,美工,苏州
平面设计/网页/美工助理,https://www.lagou.com/jobs/5657000.html,姑苏区,4k-6k,苏州高迈软件设计有限公司,不限,大专,"双休,五险一金",岗位职责：1、参与设计研究工作，配合项目经理把握设计方向和设计风格；2、在项目经理的带领下完成设计或设计阶段性工作；3、完成上级领导交办的其他工作。任职要求：1、可接受大专及以上学历的应届毕业生，实习生；2、能熟练使用办公软件，对设计方面有浓厚兴趣；3、有无经验均可，一经录用，待遇从优。工作时间：9:00-18:00 午休2小时福利待遇：1、基本工资4000-6000+餐费补贴+外地员工可以提供住宿2、五险(养老、失业、工伤、医疗、生育)一金(公积金)3、入职后签订劳动就业合同，五险一金+双休法定假日，有良好的晋升空间4、全体员工除享受以上福利待遇外还将享受带薪年假、病假、婚假、丧假、产假等国家法定节假日,"移动互联网,电商",50-150人,美工,苏州
美工平面设计,https://www.lagou.com/jobs/5010261.html,昆山市,4k-6k,锦狐贸易（上海）有限公司,1-3年,不限,早9晚6，工作环境很好，很轻松,配合运营负责公司旗下的天猫、京东、淘宝平台的美工工作,电商,15-50人,美工,苏州
美工设计,https://www.lagou.com/jobs/7010145.html,吴江区,5k-10k,苏州埃尔首饰有限公司,1-3年,不限,自由自在的工作环境,"1、全面负责淘宝店铺全套美工设计，包括：产品图片处理、产品文案描述、宝贝优化及店面整体形象设计更新、促销活动平面设计等;　　2、负责淘宝店的首页和详情页的设计，店铺图片资源的维护和完善;　　3、负责宝贝的上架等;　　4、定期根据促销日,季节转换、店铺促销等制作促销海报图片;　　5、负责店铺的风格装修和页面创意设计，优化用户视觉体验;　　6、站在用户角度去思考，提高网站的可用性，优化设计，能够挖掘消费者的浏览习惯和点击需求。",电子商务,15-50人,美工,苏州
