job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
美工,https://www.lagou.com/jobs/6871761.html,新城区,2k-3k,西安腾焱网络科技有限公司,应届毕业生,大专,福利好 工作环境宽松 合规,"1、有较强的责任心及执行力；工作认真、细心,人品正直,吃苦耐劳；2、精通PS。","移动互联网,电商",15-50人,美工,西安
网页设计美工,https://www.lagou.com/jobs/7215685.html,经济技术开发区,2k-4k,西安源动力数据科技有限公司,应届毕业生,大专,发展前景,招聘需求：1、企业官网、商城、手机微网站、微商城等整体网站，网页排版设计、banner设计；2、设计过程中要能跟客户直接沟通，表达设计理念3、负责整个项目的宏观进度把控、协调项目团队各方工作、网站开发完成之后参与测试工作4、美术专业优先考虑。职位要求：1.热爱设计工作，思维活跃，富有创意，表现能力强，能根据客户要求完成网站页面设计；2.与客户进行沟通，充分理解客户修改意见，并能引导客户的设计思路3.    善于与人沟通，良好的团队合作精神和高度的责任感，能够承受压力，有创新精神，保证工作质量4.    不要求会写代码，但要求设计感审美感好，有较高的视觉创意思维。,"企业服务,软件开发",少于15人,美工,西安
美工,https://www.lagou.com/jobs/6852539.html,高新技术产业开发区,4k-6k,深圳轻碳信息技术有限公司,1-3年,本科,五险一金 弹性工作 团队聚会 低碳健康,职务描述：1.负责有赞、头条小店店页面设计，主图设计，详情页设计;2.产品页面视觉美化3.负责产品上下架等相关工作;4.与运营人员配合，制作各种运营促销设计图；任职要求：1.大专及以上学历，1年以上相关工作经验；2.熟练使用平面设计软件、办公软件等，如photoshop、office等;3.有独立工作经验，有独立完成的作品;4.善于了解客户、领导需求，团队协作能力强，一定的抗压能力5.具备较强的理解与语言表达能力、沟通协调能力;6.有电商设计、策划等工作经验者优先;7性格热情乐观，愿意尝试配合运营相关工作,医疗丨健康,15-50人,美工,西安
美工设计,https://www.lagou.com/jobs/3617137.html,高新技术产业开发区,4k-6k,西安吉客印电子商务有限公司,1-3年,本科,"五险一金,节假日福利,下午茶,上下班弹性",岗位职责：1、配合营销文案，执行其所负责产品的所有创意构想及形成；2、针对企业产品和精准人群与用户浏览习惯，制作网站的首页设计，详情页模板等重要入口，准确定位品牌风格，把控品牌调性；3、与营销文案一起共同讨论形成创意点子、文字构思和设计编排专题活动页；4、经过系统的研究和分析，包括人群，色彩，喜好，用户浏览习惯等，调整了页面风格，从而优化产品的访问深度和停留时间，大大提升静默转换率；5、着重于美术方面的发想、构成和执行，熟练使用各种制作软件 ；6、服从公司及上级领导的工作安排，积极配合其它部门或同事工作。 任职资格：1、平面设计、美术、广告专业大专及以上学历，从事电子商务平面设计1年以上，有平面媒体、广告公司、互联网网页设计，工作经验者优先考虑；2、熟练使用Photoshop、Adobe Illustrator、Coreldraw、Firework等平面设计工具； 3.、富有强烈的创作欲望和创作意识，具有丰富的想象力、创造力、表现力；4、配合协助产品策划、广告商和媒体按时完成设计制作；5、 能够独立负责设计的策划与实施，主动思考及分析问题，并不断完善与创新；6、 有较强的沟通、协调能力和开拓意识，思路清晰，反应敏捷；7、较强的主观能动性与责任感、认真细心，良好的团队精神和服务意识。,电商,150-500人,美工,西安
美工,https://www.lagou.com/jobs/7056393.html,高新技术产业开发区,4k-6k,西安科融恒信软件有限公司,1-3年,大专,双休、五险一金,"职位要求1. 具有良好的美术功底与创意能力2. 网页设计/平面设计相关工作3. 熟悉Photoshop，Illustrator,flash,CAD,3Dmax等设计软件4. 有较强的色彩搭配能力及审美观念;有良好的视觉创意和网页美工制作经验;5. 对网站页面设计有独特的见解、独立思考能力和创新意识;工作内容1. 负责公司产品的界面进行设计、美编、美化等工作;2. 负责与开发人员配合完成所辖网站、移动端等前台页面设计和编辑;3. 参与各产品团队设计讨论，和开发团队共同创建用户界面，跟踪产品效果，提出设计改善方案;4. 其他与美术设计相关的工作。",软件开发,15-50人,美工,西安
淘宝/天猫美工/电商美工/平面设计,https://www.lagou.com/jobs/6319723.html,碑林区,4k-8k,西安奇境文化传播有限公司,1-3年,不限,周末双休 发展空间大 晋升快,职位描述岗位职责：1.独立完成制作京东、天猫、淘宝店铺详情页、活动BANNER等；2.处理商业拍摄的后期3.其他相关设计或网页设计处理4.有平面的基础任职要求：1. 精通PS、AI、AE、***D等软件2. 有一定的审美与色彩感，较了解目前主流的电商风格3. 有较好的抗压能力4. 有较好的逻辑性和文字表达能力,"游戏,其他",150-500人,美工,西安
淘宝美工,https://www.lagou.com/jobs/6982581.html,高新技术产业开发区,3k-5k,西安亦乐买商贸有限公司,1-3年,本科,挑战大，薪资丰厚 ，团队配合，弹性工作,1-3年电商美工工作经验，熟练运用ps，AI 视频剪辑等技能，配合运营优化店铺数据，沟通能力强，效率高！,"广告营销,软件开发",15-50人,美工,西安
淘宝/天猫美工/电商美工/平面设计,https://www.lagou.com/jobs/6846804.html,碑林区,4k-8k,西安奇境文化传播有限公司,3-5年,不限,周末双休 发展空间大 晋升快,岗位职责:1、负责阿里巴巴淘宝、天猫PC/移动端页面及创意banner设计，海报设计，无线端的页面设计，等相关工作执行落地；2、其他同设计相关配套工作的执行。3、支持阿里巴巴项目派驻。任职要求：1、精通PS/AI等相关设计软件及其他各种办公软件；2、具备一定的审美和鉴赏能力，有想法，能表达；3、具备较好的沟通能力，能够和客户很好的就需求进行确认并满足客户对于设计的需求；4、具备校核的团队协作意识，能够协同一致推进业务的落地；5、具有艺术设计专业毕业，具有较好设计素养的优先；6、电商企业从事过视觉设计优先，觉得合适的先发下个人的优秀作品看下，需要有经验的同学加入我们团队，应届生及没有设计工作经验的同学不考虑哈。,"游戏,其他",150-500人,美工,西安
电商美工/平面设计师,https://www.lagou.com/jobs/4302657.html,户县,2k-4k,西安妙笔生花网络科技有限公司,不限,大专,弹性工作,职位描述：1、根据客户需求及产品设计要求完成包括天猫、淘宝等电商店铺设计（首页、详情页、海报、主图等）产品信息美化、创意海报、促销活动等的基础设计、网页设计等工作；2、产品原图修图美化及制作各种活动和促销的专题推广海报、平面创意设计，产品详情介绍页面。任职要求：1、专科及以上学历，优秀者可放宽学历要求；平面设计等相关专业。2、1年以上相关行业设计经验，熟悉使用PS应届毕业生亦可；3、专业技能：熟练的使用Photoshop绘图软件或其他绘图软件；4、办公软件操作能力：熟悉Office办公软件操作；5、对网店装修有独到的见解，且有一定的创新意识；6、具备手绘经验或精修图片经验者择优录用。薪酬结构/福利待遇：底薪+提成+激励。舒适的办公环境、办公设备（独立电脑、办公桌）。成长晋升：成熟完善的培训体系，全方位的培训内容；让你从一名新手迅速成长为这个行业精英。工作地址：西安市户县人民路十字东南角冠丰国际12层1210室工作时间：（早上10：00-下午20：00）,电商,15-50人,美工,西安
美工设计,https://www.lagou.com/jobs/7128469.html,沣渭新区,5k-8k,西安墨笛信息科技有限责任公司,3-5年,大专,成熟团队，均为大咖，初创公司，晋升空间大,职位信息：1、负责公司网站公司产品及活动的视觉设计，包括整站UI风格、活动专题页面、Banner图片等设计工作；2、协助运营团队完成自媒体平台/电商平台的营销文案栏目、推送计划的制定、推进工作；3、着重于美术方面的发想，构成和执行，熟练使用各种制作软件；任职要求：1、平面设计、美术、广告专业大专及以上学历，从事电子商务平面设计1年以上，有平面媒体、广告公司、互联网网页设计工作经验着优先考虑。2、精通Photoshop\Dreamweaver\Illustrator等设计软件，对图片渲染和视觉效果有较好认识；,"电商,企业服务",15-50人,美工,西安
美工设计,https://www.lagou.com/jobs/6921284.html,未央区,5k-8k,西安特高电子科技有限公司,1-3年,大专,工作内容简单，高收入,主要负责公司产品的制作  美化  详情页的制作   店铺的装修,其他,500-2000人,美工,西安
UI设计师,https://www.lagou.com/jobs/6949127.html,高新技术产业开发区,12k-20k,西安数据如金信息科技有限公司,3-5年,本科,五险一金 技术大牛 极客精神,"黑帕云(https://hipacloud.com) 正在寻找一名设计师加入我们的创始团队，一起创造友好、灵活、强大的 无代码应用搭建平台。 设计工作在黑帕云极其重要，不仅产品本身，也对我们公司、品牌、文化、客户产生积极影响。如果你全力 以赴并且乐于学习，我们竭尽全力支持你在职业上达到新的高度，让黑帕云和你为自己的创作自豪。※ 在黑帕云，设计师大部分时间需要设计产品功能，有时候改进既有的功能特性，有时候设计全新的特性，有 时候需要对产品进行彻底的重新思考。你可能现在设计Web端，下个月设计移动端或者小程序。新的产品功 能总是以产品经理和设计师开始，你有机会加入自己的设计思考，影响成千上万使用我们产品的人。※ 你应该有很好的设计品味、天分和职业素养，对于色彩、排版、设计潮流有自己的认知。你最好是设计专业 出身，一直在从事真正的设计工作。我们所说的设计工作，不是设计电商海报、活动张贴画用一次就算那种 的，那是美工。我们所说的设计工作，是你的设计有所表达，触动人心，并且你引以为豪。※ 我们在寻找一个有经验并且对设计充满热情的设计师，你过去的经历和作品应该能证明这一点。你应该设计 过 Web 和移动端产品，最好设计过 SaaS产品;你知道 Design System, 对于诸如 Bootstrap、Material Design 等开源设计框架不陌生。你知道一些 HTML / CSS? 再好不过了。※ 在黑帕云，你将与一群自我驱动、持续学习、不断成⻓的小伙伴一起创业。我们友善，勤奋，充满天分，热 爱所做的事情。你将在这个环境中更快的成⻓，学习到打磨互联网企业级产品的方法，我们也将因为你的加 入学习到新的东⻄。对了，我们认为写作也是设计的一部分，因此，你最好写得不错——不需要文采斐然，至少需要条理清晰， 逻辑通顺，如同你的设计一样能够感染到读者。在创业团队工作会是很大的挑战，在应聘之前你应该已经做好心理准备，与家人做好沟通。创业失败的概率 非常高，创业团队多数也没那么完美，想清楚自己要什么，然后作出对自己对团队负责任的选择。（如方便的话，请提前分享作品集）",企业服务,50-150人,美工,西安
web前端开发工程师,https://www.lagou.com/jobs/5625141.html,未央区,7k-13k,福建华网信息科技有限公司,1-3年,本科,每年多次调薪14薪餐补体检过节费,岗位职责：1、负责公司Web类产品的界面开发，具有编写高质量代码的能力。2、能够与后台沟通后利用Web框架完成数据交互、动态信息展现。3、能够与美工沟通后利用Web框架完成美工效果图的html实现。4、确保在不同平台、设备、浏览器上均拥有优质的用户体验。任职要求：1、具备Web前端开发的相关经验。2、精通HTML/HTML5、DIV+CSS3、JavaScript，了解并能使用JavaScript原型链；3、深度理解各种Web前端技术要素并能熟练使用，如Ajax、Json、xml等；4、熟练掌握JQuery等主流Javascript前端库的使用；5、对前端工程化与模块化开发有一定了解；6、良好的沟通与表达能力、思路清晰，较强的动手能力与逻辑分析能力，良好的团队合作和积极主动的沟通意识；7、具备一定的JavaWeb或者J2EE基础。满足以下条件者可考虑优先入取：1、熟悉非前端的语言（如Java/C#），并有相关开发经验；2年工作经验以上2、关注前端前沿技术，有浓厚的兴趣和深入的见解，并能灵活在工作中进行应用；3、大型Web应用系统设计与开发经验,"移动互联网,企业服务",50-150人,美工,西安
