job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
美工学徒有人带+住宿,https://www.lagou.com/jobs/7086967.html,金水区,4k-6k,北京浩裕洋新能源科技有限公司,应届毕业生,不限,工作经验越丰富做的越久工资越高的一个职业,职位详情1.做事仔细认真，对色彩敏感2.细心，好学有良好的逻辑思维能力3.工作认真，勤奋，态度积极岗位职责1.主要是辅助网页设计师完成网站的页面优化及前期图片的处理美化等2.会使用简单的ps ai等设计软件3.完成上级交代的其他任务薪资待遇  3500-6000+五险+补贴早九晚六，双休，年假，婚假，产假，法定节假日正常休息,其他,15-50人,美工,郑州
美工设计,https://www.lagou.com/jobs/6975771.html,中牟县,6k-8k,无锡宝万百货有限公司南京燕子矶店,1-3年,大专,"领导nice
平台好",职位描述：1.完成商城日常活动图片设计需求；2.优化商城VI，提高用户视觉体验；3.负责专题、活动的主题创意，对整体主视觉进行把控；4.传播海报、h5等宣传资料的设计；任职要求：1.美院类院校专科以上学历，美术、设计类相关专业；2.熟练使用Photoshop、llustrator、AI等常用设计软件；3.具有较好的艺术设计能力及美术功底，对时尚以及视觉效果能够准确把握；4.有2年以上相关工作经验，有电商类设计工作经验1年以上者优先；5.有较强的学习能力和自我驱动力、责任心，以及一定的抗压能力；,消费生活,150-500人,美工,郑州
美工,https://www.lagou.com/jobs/6664750.html,经开区,4k-7k,泰勒詹姆斯（郑州）供应链管理有限公司,1-3年,不限,氛围好，工作时间灵活分配,职位描述：1.根据公司品牌的定位，品牌宣传海报以及公司展会产品海报设计，进一步完善已有的品牌设计； 2.产品外包装、产品画册、产品详情页、PPT、名片、微信推广海报等；3.负责设计营销或业务上需要的各种线上线下的海报、banner、易拉宝、画册、折页等。3.根据项目需求设计H5活动页面、主页banner、活动页面等；4.对摄影师拍摄后的产品图片进一步完善修图对呈现出的视觉效果有很好的认知能力；5.通过对产品的了解以平面、动画或者小视频的形式来传达产品主要卖点。6.负责设计整理公司品牌的VI识别。7.商品中文标签设计，依照中国海关商检规定，设计合规的商品中文标签。8.有设计社交媒体运营长图的经验加分项：会自己架网站，起飞页、wix、wordpress等都可以任职要求 :1.具备（专业技能，设计相关工作流程的熟悉度，协调能力）职业相关基本技能均能达到中等以上水平，工作中遇到的专业问题有处理方法；2、善沟通，能及时、准确把握客户需求，具备良好的团队合作精神和高度的责任感，能够承受压力，保证工作质量；3、有扎实的美术功底、具备较高的理解力、创造力，勇于创新、不断挑战自我；4、精通Photoshop/Illustrator等设计软件，对图片渲染和视觉效果有较好认识，能准确把握产品的整体风格和色彩。5、美术、平面设计、艺术相关专业，大专及以上学历，2年以上从业经验（广告公司工作经历优先考虑）。[加分项] 1、有成功、优秀的作品证明你是个平面设计高手；2、 优秀者，薪资不受这个范围限制；3、从事过快消策划设计推广宣传优先考虑。,"电商,其他",15-50人,美工,郑州
美工,https://www.lagou.com/jobs/3459719.html,管城回族区,4k-6k,河南省中农康畜贸易有限公司,3-5年,大专,"包吃住,员工旅游,定期体检,弹性工作",【岗位职责】1.负责为公司旗下直营店铺（天猫、淘宝、京东）建立符合品牌定位的视觉形象；2.负责各电商店铺（天猫、淘宝、京东）整体装修风格把控和设计更新，3.负责公司产品主图处理、商品描述详情图片设计；4.配合推广人员，完成直通车图、钻展图、促销活动页面及海报的设计；5.负责店铺新品发布、图片上传、商品描述优化及店铺首页装修等日常设计工作。【任职资格】1.熟练使用Photoshop、Dreamweaver等常规设计软件；2.至少1年以上电商美工工作经验，独立操作过天猫/淘宝皇冠店，良好的文字功底；3.富有创意，能迅速理解公司设计风格并独立完成设计；4.注重用户体验，对画面的色彩和整体布局有良好把握。【基本福利】1.高档小区专用员工宿舍，24小时热水、空调、洗衣机一应俱全！2.专职厨师，为员工定制健康且营养丰富的一日三餐；3.法定假期、节假日福利、带薪年休假；4.每年1-2次公司福利旅游；5.类目**的电商品牌，为员工提供成长与实现自我的平台。,电商,150-500人,美工,郑州
美工,https://www.lagou.com/jobs/6895295.html,中原区,3k-6k,河南亿普格计算机科技有限公司,3-5年,不限,无责任底薪+提成+满勤奖+奖金+晋升空间,"岗位职责：网站前台效果图设计、创意及css+div切图任职要求：一年以上网站美工经验（必须在创意设计公司或网络公司工作）；有一定的美术功底（会PS做效果图）；会div,css ,Bootstrap响应式前端开发框架等相关技术！",企业服务、软件开发,少于15人,美工,郑州
网站美工/网站维护/网站编辑,https://www.lagou.com/jobs/6752488.html,二七区,4k-6k,河南德沃电子科技有限公司,不限,大专,五险一金 大牛带队 双休 包住宿,技能要求：PS技能要求：网站设计1、喜欢互联网站、网站维护、网站编辑、网站美工、图片设计/处理、网页设计、网站开发等技术工作；2、熟悉Dreamweaver、Photoshop、CMS等设计软件；3、吃苦耐劳，具有不服输的精神，爱学习，敢于奋斗，有激情有梦的应届毕业生/实习生，欢迎加入；4、待遇：月薪+奖金+五金+周末双休。,软件开发,50-150人,美工,郑州
网站美工/网页美工,https://www.lagou.com/jobs/3572217.html,金水区,3k-6k,河南蓝腾科技有限公司,不限,大专,"年底双薪,高提成,餐补话补,团队活动多",任职要求：1、一年以上网页美工设计工作经验，有高端网站设计经验者优先；2、熟练使用Photoshop、Dreamwaver等相关设计类软件，精通DIV+CSS布局制作网页；3、有网页设计经验，精通HTML，精通CSS；4、具有扎实的美术基础，有较好的审美和配色能力、对美学鉴定能力、对设计构想的表达能力等；5、有较好的色彩搭配能力及审美观念，页面设计要求精细有质感，能给浏览者带来较强的视觉冲击力；6、具有良好的美术功底和创意构思能力，优秀的创意设计理念和思维；,"移动互联网,企业服务",少于15人,美工,郑州
平面设计美工,https://www.lagou.com/jobs/6442739.html,高新区,5k-8k,郑州吉客印电子商务有限公司,1-3年,不限,五险一金，弹性工作，每年多次调薪,"岗位职责：1.负责公司产品的图片设计、编辑、美化等工作；2.挖掘产品卖点，设计并制作单品详情页，提高单品转化率；3.产品图片后期处理；4.商品描述文案写作以及卖点描述；任职要求：1、大专及以上学历,美术、平面设计等相关专业；2、对设计有一定的兴趣，经验1年以上；3、了解基本AI和PS等平面设计软件，对图片美化和视觉效果有较好认识；4、良好的创意思维和理解能力；",电商,500-2000人,美工,郑州
淘宝运营,https://www.lagou.com/jobs/7107428.html,金水区,5k-8k,郑州丰兴电子科技有限公司,1-3年,不限,年终奖、社保、股权激励、定期体检,岗位职责： 1、负责店铺的日常运营，熟悉淘宝的运营环境、交易规则、分析店铺销售目标并落实执行； 2、负责淘宝店铺推广工作，能够熟练运用直通车，钻展等营销工具。能有效提高店铺的浏览量、点击率和转化率等； 3、控制运营成本，扩张免费流量渠道和提升免费流量，安排店铺各类促销活动； 4、协调美工，文案人员对于页面的调整和改版； 5、制定推广方案并负责实施，对推广效果进行评估，对店铺及产品访问量、转化率数据进行分析； 6. 做好竞争对手的数据分析。 任职要求： 1、淘宝店铺运营工作2年以上，有定制类目运营经验者优先 2、精通淘宝、天猫的操作，熟悉淘宝的各类营销推广手段，熟悉淘宝网站运作情况，淘宝店铺制定的交易规则、淘宝店铺的推广、淘宝店铺网站广告资源；熟悉淘宝网站运作情况。 3、能在压力下工作，有良好的数据分析能力、执行 力4、能够与公司团队共同快速发展快速成长。 5、需要在公司坐班，外包代理勿扰。,消费生活,15-50人,美工,郑州
电商运营主管,https://www.lagou.com/jobs/6644499.html,管城回族区,8k-10k,河南中横国际贸易有限公司,1-3年,本科,五险一金 带薪年假 年度旅游 节日福利,这是一家崇尚“兼容性与个性化”的公司！高颜值是基础配置，大智慧是常规装备！旗下品牌iSDG亚洲健康行业的领军品牌专注于健康食品研发，以“创造真正的健康”为主要事业。企业实力雄厚，业务范围有宽度、有深度、有远见。线上渠道：  在天猫、京东、小红书、唯品会、云集、苏宁易购、美国亚马逊等近百家电商平台的相应类目中均为主力品牌，更是天猫国际亿元俱乐部的成员之一。线下渠道：  遍及日本20000家药妆店与国内屈臣氏、盒马鲜生、万宁、华润OLE、绿地G-Super等一线商超。90后主力团队，人性化管理，高效率，高创造力！优秀的成长空间，严谨的晋升机制，公平公正，能者居之！环境舒适，高格调，福利满满，压不住的幸福感加入我们，有爱的团队助你雏鹰快速变“金鹰”，磐石细琢成美玉。加入我们，让自由的思想，每每能碰撞出灵感的火花！如果你希望找到一份快乐多、进步快的工作，请往下瞄一眼：岗位职责：1、负责整体店铺运营工作，合理规划店铺定位及发展方向，提升店铺各项收据；2、负责店铺及产品管理，优化店铺页面、产品标题、主图、详情、上下架等工作；3、完成店铺活动的策划、具体执行及数据复盘，协调美工、推广的活动配合工作，提升活动效果；4、负责店铺推广相关工作，不断优化推广数据；5、负责分析店铺销售数据、流量数据、CRM数据，及时提出改进措施，给出确实可行的改进方案，页面及营销策略方案、不断优化运营和服务；6、电商新兴推广及曝光方式的不断学习，运营大趋势，新动态的学习。任职资格：1、2年以运营工作经验，保健品相关运营经验优先；2、熟悉天猫、淘宝、阿里巴巴、小红书、拼多多、唯品会等平台规则、运营流程和指标数据分析；3、细致、耐心的工作态度，良好的沟通技巧和组织协调能力，富有激情和创造性。,电商,150-500人,美工,郑州
