job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
电商美工,https://www.lagou.com/jobs/7216541.html,雨花区,4k-7k,长沙可近网络科技有限公司,1-3年,大专,更多学习机会,岗位职责：1、为各电商平台店铺首页及活动宣传图片的设计，店铺整体形象、风格的设计与美化；2、宝贝详情页的设计，根据需要随时进行设计调整；3、有独立设计首页及专题页的能力，能深挖卖点制作主图 ，直通车图；4、完成上级要求的其他作图设计需要，有装饰画，家居家具类相关设计经验优先录取；5、工作积极主动，富有责任心，有问题善于沟通。任职要求：1.各电商平台美工或视觉平面设计工作经验1年以上，具备独立的设计及创意构思的能力；2..了解当季的流行趋势及色彩搭配，对页面设计有自己的想法与见地，善于沟通；3.熟练使用Photoshop、Dreamweaver等常用设计制作软件；4.熟悉移动端页面的设计规范和要求，有良好的品牌VI解析能力，对色彩有良好运用；5.擅长扁平化设计、参与过如双十一、618等大促；6.思维活跃，有较好的审美能力及较强的视觉效果表现能力。7.应届毕业生请勿打扰,电商,少于15人,美工,长沙
天猫美工设计,https://www.lagou.com/jobs/7167162.html,岳麓区,5k-8k,武汉忆之道教育科技有限公司,3-5年,大专,电商，氛围好，年轻团队，潜力无线,诚聘在发布地址办公的全职坐班美工！！！请第三方/中间平台或在线远程办公者暂时勿扰！！！岗位职责：1、全面负责天猫店铺装修，主图，页面，详情页等设计排版；2、配合店铺宣传、广告、活动的设计；3、与运营保持良好沟通，从不同端了解客户心里，从而优化设计，以提升店铺浏览、点击、转化。任职要求:1、大专及以上学历，平面设计、广告视觉等专业优先；2、3年左右设计经验，1年以上天猫淘宝美工设计经验，技术能力强，会精修，熟练运用PS等设计软件；3、有一定速度及审美能力，沟通理解能力及责任心较强。,"电商,教育",150-500人,美工,长沙
电商美工,https://www.lagou.com/jobs/7215795.html,芙蓉区,5k-6k,湖南超级电子商务科技有限公司,1-3年,大专,五险一金，公司氛围好,职位诱惑：工作氛围好 发展前景大 机会多职位描述：1、负责电商运营平台店铺，产品修图、美化详情处理；2、进行推广图、海报制作3、banner优化 ；4、会P图/简单产品拍摄/剪辑和图片处理；制作有美感、有吸引购买力的图片；5、上司安排的其他设计方面的工作。任职要求：1、大专或以上学历，1年以上工作经验，有做过效果投放类广告设计优先考虑；2、熟练使用PS、AI、CDR、DW等常用设计制作软件；3、良好地沟通与协作能力，快速接受新事物、踏实、细心4、有一定的美术基础和设计理念，具有良好审美能力。基本工资+提成+五险一金+奖金+年底双薪，能者多得。,电商,15-50人,美工,长沙
电商美工设计师,https://www.lagou.com/jobs/6886506.html,岳麓区,4k-6k,俏皮羊生物科技有限公司,3-5年,本科,优秀员工国外游、五险,位职责：1、负责线上店铺、网站的美工设计，图片处理；2、负责产品的设计和美化，包括制作详情页、活动推广图、海报等设计；3、负责已经上架产品详情页完善、店铺营销活动方案设计，对店铺的产品做出相对应的Banner以及广告页面；4、站在用户角度去思考，提高店铺的点击率；优化设计，能挖掘消费者的浏览习惯和点击需求。任职条件：1、本科以上学历，美术，设计、广告相关专业，有1年以上京东，淘宝美工经验者优先；2、熟知photoshop，dreaweaver，corldraw，C4D等软件；3、能独立完成线上店铺的主页美化，制作促销、描述模板，跟进公司产品的上架情况和促销信息制作推广图，对拍摄图片进行调色、美化处理；,"消费生活,其他",150-500人,美工,长沙
美工 UI 设计,https://www.lagou.com/jobs/5850586.html,天心区,3k-5k,湖南智慧融通科技有限公司,应届毕业生,本科,地理位置优越，地铁口，聚餐，旅游，,岗位职责：1、协助设计师制作UI设计，界面设计，网页界面设计，排版2、协助设计师制作淘宝页面设计3、平面设计，海报，logo等4、协助设计师完成文案编辑 任职要求：1、视觉艺术设计或美术相关设计专业毕业，本科及以上学历；在校大学生，大二，大三，大四在校应届生都可以，有上进心2、熟悉软件工具PS、 Axure ；3、具有一定专业审美能力和色彩把控能力；有公众号运营经验优先4、有无经验均可，实习生亦可，在校生亦可；有人带公司相关福利：1、零食+法定假期+下午茶  旅游2、全面的社会保险：养老保险、医疗保险、工伤保险、失业保险、生育保险。3、良好晋升机会：内部转职（横向发展）、纵向提升。岗位福利：社会保险+年假+传统节日福利+员工活动+旅游。,"移动互联网,教育",15-50人,美工,长沙
网页设计/美工,https://www.lagou.com/jobs/1942841.html,芙蓉区,4k-7k,长沙天二网络科技有限公司,1-3年,大专,高提成、靠谱团队、发展前景好、上升空间大,职位描述：1、负责各种类型PC网站、手机网站及APP页面设计、改版、更新；2、负责各种类型网站的图片、专题等创意设计；3、精通PS、FIREWORKS、PHOTOSHOP、DREAMWEAVER 、FLASH等相关软件；4、能根据客户的要求，制作出相应的网站页面；5、有大型商务网站美工设计经验者优先考虑；6、完成上级安排的其它事务性工作。任职要求：1、美术、平面设计等相关专业，专科及以上学历;2、从事网页设计一年以上，熟练掌握网站制作整套技术，了解网页制作技术规范，参与过多个商业网站的制作工作;3、有良好的美术功底、审美能力，有较强的网页设计能力;4、对用户界面、交互设计、信息架构和用户体验有较深刻的认识，善于创新，有针对不同产品和页面定位进而把握不同风格页面的能力;5、能独立进行网站网页的设计，具备良好的团队意识。6、头脑灵活，思路清晰，善于沟通，工作主动热情，有较强的学习和理解能力，容易接受新技术7、面试请携带作品。,企业服务,15-50人,美工,长沙
美工平面设计,https://www.lagou.com/jobs/7147411.html,岳麓区,6k-12k,湖南比克曼生物科技有限公司,3-5年,大专,丰厚绩效，社保，定期团建,岗位职责：1.根据公司电商店铺需求，配合运营对公司旗下天猫，淘宝，京东等店铺视觉进行设计和优化，包括店铺整体视觉规划，产品首页装修，产品主图和详情页设计等。2.擅长根据图片点击率，转化率等数据反馈，对图片进行优化，提升数据转化。3.结合行业和产品特性，输出符合品牌调性的视觉设计方案。任职要求：1.有3年以上设计工作经验，2年以上电商设计工作经验。2.具备良好的沟通能力，能够准备理解运营部门的设计需求。3.店铺及产品较多，要求制图效率较高。4.有生物医药电商设计工作经验更佳。（非强制要求）,电子商务,50-150人,美工,长沙
美工设计,https://www.lagou.com/jobs/7165315.html,岳麓区,3k-6k,武汉世之峰教育科技有限公司,不限,大专,带薪实习,岗位职责：1、负责天猫店铺装修，主图，页面，详情页等设计排版；2、配合店铺宣传、广告、活动的设计；3、与运营保持良好沟通，从不同端了解客户心里，从而优化设计，以提升店铺浏览、点击、转化。任职要求:1、大专及以上学历，平面设计、广告视觉等专业优先；2、有电商美工设计工作经验优先，熟练运用PS等设计软件；3、有一定速度及审美能力，沟通理解能力及责任心较强。,教育,15-50人,美工,长沙
美工设计,https://www.lagou.com/jobs/6790409.html,岳麓区,3k-6k,湖南医加健康科技有限公司,3-5年,大专,福利好，工作氛围轻松,岗位职责：负责公司网店的图片设计，公司宣传图片设计等任职要求：1、本科以上学历，美术学，设计学、视觉传达等相关专业优先；2、1年以上相关工作经验，互联网，电商行业从业者优先；3、熟悉专业知识技能，积极主动，创新性强；4、对热爱本职工作，工作细心、责任心强；5、熟悉Photoshop、Illustrator等设计软件，能使用视频编辑软件更佳；6、能独立完成领导安排其他临时性工作。,"消费生活,医疗丨健康",少于15人,美工,长沙
淘宝美工,https://www.lagou.com/jobs/6632408.html,岳麓区,4k-7k,长沙千人智能科技有限公司,1-3年,大专,五险一金,"1、负责淘宝店铺整体形象设计、网店风格及商品展示设计，首页广告图片制作及 美化、整体布局、活动广告的相关图片的制作；2、店铺设计排版及促销宣传版面，配合推广人员做推广宣传图、直通车及钻石展 位推广图片；3、负责商品的细节图片的拍摄、处理，对新开发的产品进行抠图排版、优化店内 宝贝描述、美化产品图片及商品的上下架；4、定期更新促销图片和页面、配合店铺销售活动、美化修改产品页面；5、其他领导交办的工作。不怕你没经验，只怕你不肯用心。只要踏实肯干，这里 的上升机会还是比其他地方大的。职位要求：1、大专以上学历. 有一年以上淘宝美工工作经验.2、 熟练操作PS,CDR,AI等设计软件，会制作视频、精修图.3、具有服务意识和团队合作精神。4.  具有良好的沟通协调能力，应变能力，执行能力，性格开朗，具有一定的审美和创新能力","移动互联网,电商",50-150人,美工,长沙
