job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品运营,https://www.lagou.com/jobs/6228995.html,锡山区,8k-13k,南京帆软软件有限公司,1-3年,本科,扁平化管理 股份期权 氛围好,职责描述：a. 独立负责用户留存之类具体的某一项产品运营指标的提升及优化b. 分析自己相关的运营数据，找出问题，通过各种途径及方式迭代行动，推动指标的提升c. 同产品团队配合，根据发现问题，提出产品改良建议。d. 配合运营团队其它成员的工作，达成运营团队的整体目标e. 同市场团队配合，提供优质的宣传原始素材，提升产品口碑，扩大产品影响力。任职要求：a. 工作半年-3年内，有相关互联网/软件产品运营/产品经理的工作经验，有过不错成绩，企业类软件产品优先。b. 本科及以上学历c. 做事有激情，有强烈的主动性，强大的逻辑思维及学习能力，能独立自主的达成目标任务d. 沟通能力强，踏实中国大数据行业前50强，数据报表领域**。员工多为90后，工作氛围轻松活跃。 晋升快，按贡献发放年底奖金，更有1、3、6、12个月的年终等着你！,数据服务,500-2000人,运营,无锡
产品运营,https://www.lagou.com/jobs/6961387.html,锡山区,10k-16k,南京帆软软件有限公司,1-3年,本科,大牛多，扁平化,岗位职责：1、负责新功能/新产品原型阶段的跟进及管理；2、负责核心客户的使用及需求沟通，客户使用场景及解决方案收集及制作，提升产品使用深度和广度；3、同市场部门配合，提供优质产品宣传素材，提升产品口碑，扩大产品影响力；4、同产品部门配合，收集产品数据并分析问题，向产品经理提出改良优化建议。任职要求：1、大学统招本科，理工科专业背景，毕业3年以内；2、做事有激情，有强烈的主动性，强大的逻辑思维及学习能力，能独立自主的达成目标任务；3、有toB软件运营/产品经理的工作经验(或者实习经验)，或者toB项目经理经验的优先。,数据服务,500-2000人,运营,无锡
运营专员,https://www.lagou.com/jobs/6184214.html,惠山区,3k-6k,无锡久帝文化传媒有限公司,1年以下,不限,薪资待遇优厚、节日福利、员工出游等,梦想有多大舞台就有多大，不限制发展合理的晋升。新起航新起点！一、 岗位职责1、负责招募拓展、挖掘、直播艺人，协助直播艺人完成签约流程；2、根据运营的需求招聘不同风格的主播；有效的优化主播招募和管理主播，整理主播资料；3、负责维护优化直播艺人，帮助直播艺人解决开播问题；并跟进主播的咨询、投诉、建议，反馈，有效处理并提出合理的解决方案；负责与直播艺人沟通，解决平台工作的困难；二 、 入职条件1、无经验者有专门人带教；2、具有高度的责任心、和良好的执行力能承受较强的工作压力；3、积极主动，敢于接受挑战，性格开朗，有较强的团队合作精神；4、工作认真主动，善于发现问题，并对问题能够提出建设性意见5、对网络直播平台流行元素或话题比较敏感，有浓厚的兴趣，会计算机基本操作6、有娱乐主播和公会资源可优先。,文娱丨内容,150-500人,运营,无锡
运营,https://www.lagou.com/jobs/6715456.html,滨湖区,4k-8k,无锡天舟新纪网络科技有限公司,不限,大专,五险一金，带薪年假，不加班,1、负责线上线下主播日常工作2、完成主播入驻平台的直播工作，解决直播过程中产生的问题任职资格1、18-32岁2、性别不限3、性格开朗，有亲和力，沟通力强,"文娱丨内容,广告营销",150-500人,运营,无锡
Java开发工程师（运营中台）,https://www.lagou.com/jobs/7149978.html,新吴区,11k-20k,朗新科技股份有限公司,5-10年,本科,年终奖优厚 公积金福利优厚 蚂蚁生态企业,招聘要求:1、掌握JVM工作机制，有线上调优经验。2、精通面向对象的编程原理及相关设计模式。3、精通分布式开发，精通常用中间件，精通主流1-2个分布式开发框架，掌握高并发处理知识，能根据实际情况设计并发处理方案。4、有多个系统间的应用架构设计经验。5、不仅熟悉自己所负责的业务链路，还具备一定业务趋势的判断6、能熟练编写结构清晰、信息全面、内容规范的技术文档。7、具备快速学习的能力，善于团队合作。加分项：有运营平台项目经验优先,"移动互联网,企业服务",2000人以上,运营,无锡
运营,https://www.lagou.com/jobs/7068157.html,江阴市,10k-20k,江阴聚点文化传媒有限公司,3-5年,大专,有无经验均可公司提供免费培训,认真对待 有耐心工作和善可亲待遇行成成比,文娱丨内容,2000人以上,运营,无锡
电商直播运营,https://www.lagou.com/jobs/6930753.html,梁溪区,8k-16k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,晋升空间大,扁平管理",,文娱丨内容,2000人以上,运营,无锡
电商广告策略运营,https://www.lagou.com/jobs/6924948.html,梁溪区,10k-17k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,团队氛围好,餐补,租房补贴",,文娱丨内容,2000人以上,运营,无锡
运营助理,https://www.lagou.com/jobs/7013768.html,北塘区,3k-5k,北京凌众时代广告有限公司,1年以下,大专,"双休待遇好,调薪次数多,轻松氛围好",岗位职责：1、3~6个月数据统计学习（报表统计、拓词、撰写创意）2、6~12个初步sem账户操作、数据分析培养3、1年后，账户独立运营优化培养任职要求：1、本科以上学历，21岁-26岁，有无行业经验均可2、熟练使用Excel表格3、细心，有责任心，有意愿往sem优化师发展,移动互联网,50-150人,运营,无锡
京东天猫运营助理,https://www.lagou.com/jobs/7070326.html,锡山区,3k-6k,无锡大音若希网络科技有限公司,不限,大专,五险,技能要求：电商类目运营工作内容：1.负责受理、处理网上客户的在线咨询问题，与咨询者沟通、简单答疑并对其进行咨询引导。2.辅助销售完成相应的销售任务。3.负责定期统计和整理有关客户的所有数据和报表。4.完成上级领导交代的其他工作。5.电商运营。职位要求：1.全日制专科及以上学历（条件优秀者学历可适当放宽）2.年龄20-25周岁（有工作经验者可视情况调整）3.有基本的计算机基础，打字速度快。4.有相关在线销售经验者优先考虑5无经验也可以，有专门人员培训，要求抗压能力强，态度细心负责,电商,少于15人,运营,无锡
