job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
资深车辆运营-沈阳(J12454),https://www.lagou.com/jobs/6741223.html,和平区,10k-20k,上海钧正网络科技有限公司,3-5年,本科,五险一金；交通补助；午餐补助；带薪年假等,,"移动互联网,硬件",2000人以上,运营,沈阳
公交业务-城市运营经理（华北）,https://www.lagou.com/jobs/6762029.html,和平区,10k-20k,北京三快在线科技有限公司,不限,本科,创新业务， 成长空间大,,消费生活,2000人以上,运营,沈阳
运营助理专员,https://www.lagou.com/jobs/6719625.html,和平区,4k-6k,黑龙江上亿互动网络科技（集团）有限公司,不限,大专,提供零食，饮料，法定节假休，晋升制度完善,岗位职责：通过各种渠道或平台，挖掘、招聘、管理、培养优秀艺人。任职要求：1.招聘工作，培养潜力人员，维护已有人员，协助艺人入住直播平台的引导工作2.管理后台，跟进后台的咨询，投诉，建议和反馈，有效处理并提出合理解决方案3.善于沟通，反应灵敏，处事有条理年龄要求：18——25岁之间工作时间：10:00—19:00  ，实习生公司可签实习证明，公司提供零食、饮料，加班有车补饭补。        公司地址：沈阳市和平区十一纬路29号北方文化新谷,"移动互联网,社交",150-500人,运营,沈阳
新媒体运营专员,https://www.lagou.com/jobs/7134101.html,沈河区,5k-8k,辽宁宏胤晟汇文化传媒有限公司,不限,不限,收益快、门槛低、小白即可！欢迎你的加入,主要负责:一对一辅助主播线上线下所有工作，维护主播和粉丝的关系，帮助主播推广，增加流量，提高收益 。负责艺人日常维护和沟通，提高开播质量，协调直播与各方的关系。热爱新媒体行业，善于学习，善于沟通。福利待遇：5.每天工作时长4-6个小时6.以上人员一经录取，公司将免费进行一对一带薪培训，辅导。7.薪资无责保底3000-9000 +高提成+奖金 晋升空间大8.公司每月举行团建，为每位员工提供生日礼品。9.成熟运营模式，高效的运营团队。10.公司免费提供住宿。,文娱丨内容,15-50人,运营,沈阳
运营经理（辽宁）,https://www.lagou.com/jobs/7185084.html,沈河区,8k-15k,北京字节跳动科技有限公司,1-3年,本科,"六险一金,团队氛围好,晋升空间大",,文娱丨内容,2000人以上,运营,沈阳
直播运营,https://www.lagou.com/jobs/7186993.html,沈河区,4k-8k,辽宁星晨文化传媒有限公司,1-3年,不限,公司氛围好，下午茶，满勤，团建，旅游,工作内容：1，针对线上线下网红艺人的日常管理维护，和艺人进行沟通，从而全方面了解艺人，提出意见吸收反馈。2，负责直播日常管理、保证直播间活跃气氛、提高活跃度。任职要求：1，沟通能力强，善于挖掘，热爱工作，拥有艺人资源者优先。3，了解直播平台的运营模式，艺人管理者优先  积极的工作态度，有责任心，有团队意识  抗压能力强  4、工作认真细致，具有极强的主观能动性和自我约束力。有赚钱的欲望 薪资待遇：试用期4500+   底薪+绩效+奖金+补助   福利待遇：节假日休息、全勤奖、加班补助、节日福利、业绩奖等。欢迎积极向上正能量的小伙伴加入我们的大家庭！,文娱丨内容,150-500人,运营,沈阳
经纪人运营,https://www.lagou.com/jobs/7197974.html,和平区,4k-8k,红创坊文化传媒（沈阳）有限公司,3-5年,不限,高薪,职位：签约人 职责：1.拓展招募渠道，招募新艺人，艺人审核流程，维护艺人资料2.管理和统筹安排所负责艺人的日常主播工作，按公司要求保证艺人直播时长3.跟踪艺人的创收效果，对艺人进行日常的沟通指导，协调艺人培训工作4.激励艺人心态5.负责跟进主播的咨询、投诉、建议、反馈，有效处理并提出解决方案7.协助完成上级布置的临时性工作，提高主播整体数量质量，并对此运营数据，目标业绩负责8.协助完成公司下发的其他任务任职资格：1.学历不限，性别不限2.熟悉直播平台，对直播、娱乐有高度兴趣与见解3.有优质人际关系优先4.有直播平台经纪人或艺人管理经验5.有良好职业道德，能够保守公司机密与艺人隐私上班时间：13:00-20:00 每周日休息薪资待遇：试用期底薪提成4000一个月转正后4500绩效+提成 做得好还有奖金 只要你有能力,文化娱乐 电子商务,150-500人,运营,沈阳
天猫运营主管,https://www.lagou.com/jobs/7197517.html,铁西区,4k-8k,丹东绿星食品有限公司,1-3年,大专,"1.办公室人员年轻化
2.工作自由",1.负责天猫日常运营2.负责天猫店铺活动申报运营3.负责天猫付费推广4.负责新媒体活动组织策划，如，直播等,电商、消费生活,50-150人,运营,沈阳
运营专员,https://www.lagou.com/jobs/7127436.html,沈河区,3k-6k,沈阳武戈文化传媒有限公司,不限,不限,周日单休，法定休息，节日津贴，带新年假,我们招募运营管理岗位 主要负责通过网络招募、拓展、挖掘、培养、管理主播，整理主播资料，建设主播团队；培养潜力主播，维护自带主播，配合团队运营，协助完成主播入住直播平台引导工作；还有主播直播内容监管、方案策划 等。,文娱丨内容,150-500人,运营,沈阳
新媒体运营实习生,https://www.lagou.com/jobs/6337663.html,沈河区,2k-3k,沈阳辽众网络科技有限公司,应届毕业生,不限,5000+,岗位职责：1、负责撰写各类品牌文案、包括软文、新闻稿、宣传文案等2、第三方平台运营，微博、今日头条、新浪，抖音等3、营销活动的制定和执行4、完成领导下达的其他工作任职要求:1、学历不限，工作经验不限，广告、新闻、传媒、中文、市场营销相关专业、热爱教育行业者优先；2、具有良好的计划和执行能力、协调能力和人际沟通能力，良好的应变和事务处理能力；3、积极主动，具备团队意识，具有高度的责任心。,"企业服务,广告营销",15-50人,运营,沈阳
